Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1KBuhAHzia2qoD4u6YhvER,"Stiff Upper Lip","Stiff Upper Lip","AC/DC",2000-02-25,214724,65,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.588,0.851,7,-4.206,1,0.033,0.0344,0.00773,0.16,0.706,123.691,4
spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,"Whiskey In The Jar","Garage Inc.","Metallica",1998-01-01,304693,75,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.511,0.97,10,-3.72,1,0.0414,0.0000056,0.00136,0.18,0.566,132.986,4
spotify:track:3FR2w9O5i9q3unY3gyjq6E,"Through The Mists Of Time","POWER UP","AC/DC",2020-11-13,212235,48,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.57,0.753,9,-5.98,1,0.0365,0.00000162,0.627,0.133,0.477,119.99,4
spotify:track:4Yqy0GpeDEXLibWJCZyQew,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989-09-02,282653,81,false,,1970-01-01T00:00:00Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,4
spotify:track:6rAy2MsMUabbqu2VygrblP,"Givin the Dog a Bone","Back In Black","AC/DC",1980-07-25,212400,55,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.525,0.975,2,-4.372,1,0.0572,0.0704,0.0000222,0.231,0.736,132.686,4
spotify:track:0IXpUl1fn2QZcBavfuq0H4,"Living After Midnight","British Steel","Judas Priest",1980,210133,61,false,,1970-01-01T00:00:00Z,"heavy metal,metal,hard rock,glam metal","Sony Music CG",0.61,0.824,4,-6.046,1,0.0534,0.0136,0.00000175,0.0606,0.819,134.992,4
spotify:track:57bgtoPSgt236HzfBOd8kj,"Thunderstruck","The Razors Edge","AC/DC",1990-09-24,292333,87,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4
spotify:track:6Nm8h73ycDG2saCnZV8poF,"Dragula","Hellbilly Deluxe","Rob Zombie",1998-01-01,222826,79,false,,1970-01-01T00:00:00Z,"industrial metal,industrial rock,alternative metal,metal,nu metal","Geffen",0.59,0.963,0,-6.489,0,0.0676,0.0000875,0.000105,0.0781,0.586,125.033,4
spotify:track:0C80GCp0mMuBzLf3EAXqxv,"Shoot to Thrill","Back In Black","AC/DC",1980-07-25,318231,76,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4
spotify:track:4qjscZh4jfhkpcQG4ZQfi2,"Animal","Hysteria","Def Leppard",1987-08-03,244560,69,false,,1970-01-01T00:00:00Z,"glam metal,glam rock,classic rock","UMC (Universal Music Catalogue)",0.583,0.921,11,-5.215,1,0.0468,0.00153,0.0178,0.188,0.613,119.526,4
spotify:track:2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell","Highway to Hell","AC/DC",1979-07-27,208110,87,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
spotify:track:1jq28NGw6wdtFKx8MBPy6C,"Burn It to the Ground","Dark Horse","Nickelback",2008-11-14,212346,79,false,,1970-01-01T00:00:00Z,"post-grunge,rock","Roadrunner Records",0.617,0.922,11,-3.474,1,0.0744,0.000247,0.388,0.363,0.6,132.059,4
spotify:track:2SiXAy7TuUkycRVbbWDEpo,"You Shook Me All Night Long","Back In Black","AC/DC",1980-07-25,210328,83,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,83,false,,1970-01-01T00:00:00Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
spotify:track:6rvldt6EoZwzogApECUCwd,"Who Made Who","Who Made Who","AC/DC",1986-05-24,207085,68,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.514,0.825,0,-5.135,1,0.0487,0.000286,0.293,0.607,0.655,125.274,4
spotify:track:57P8gH8rjt4OqEoqzut1bL,"Round and Round","The Essentials: Ratt","Ratt",1984,265893,68,false,,1970-01-01T00:00:00Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.628,0.934,11,-6.026,1,0.0527,0.00682,0.0000111,0.0853,0.491,126.539,4
