Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:44D7e3YJyCEECAL8EauXWG,"Hobbit Festival","Halflings and Hobbits","Derek Fiechter",2017-08-16,198488,18,false,dfiechter2,2017-08-20T02:25:43Z,"medieval,celtic","Various Artists",0.497,0.505,9,-14.122,1,0.0371,0.826,0.974,0.257,0.564,171.982,4
spotify:track:2W6zB2k41ubt8sTRoRAiYG,"Dance of the Fairy Folk","Treefolk","Derek Fiechter;Brandon Fiechter",2018-05-03,214903,44,false,dfiechter2,2018-12-02T00:31:30Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.613,0.322,9,-18.917,1,0.0298,0.99,0.905,0.105,0.518,133.955,4
spotify:track:2ZAVVCdMKBtnNoMJfrhNs4,"Barliman Butterbur","Middle Earth (The Shire)","Derek Fiechter;Brandon Fiechter",2025-02-20,291315,12,false,dfiechter2,2025-02-20T05:54:40Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.614,0.126,8,-19.867,1,0.0398,0.989,0.961,0.122,0.44,75.988,4
spotify:track:6j34HAsY9I6mbo1sVKVOTH,"Pirates of the Coast","Scotland","Derek Fiechter;Brandon Fiechter",2015-11-30,209230,20,false,dfiechter2,2015-12-05T17:41:32Z,"medieval,celtic","Various Artists",0.776,0.3,4,-13.989,0,0.0466,0.323,0.126,0.133,0.463,116.983,3
spotify:track:5jcxOBEJ9IAQGfpMRuigrW,"Tír na nÓg","Celtic Lands","Derek Fiechter;Brandon Fiechter",2022-06-15,185694,14,false,dfiechter2,2022-06-09T18:10:16Z,"medieval,celtic","Derek Fiechter",0.298,0.124,7,-16.306,1,0.0381,0.939,0.994,0.121,0.388,108.261,4
spotify:track:0fOI7f2VmIpBy6F0qUUMwL,"Samwise Gamgee","Middle Earth","Derek Fiechter;Brandon Fiechter",2021-09-09,236842,16,false,dfiechter2,2021-09-09T05:23:37Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.379,0.233,2,-15.152,1,0.0336,0.765,0.976,0.0603,0.148,114.117,3
spotify:track:3M2Cg9BfomgXlwDeP0ofYK,"William Wallace","Scotland","Derek Fiechter;Brandon Fiechter",2015-11-30,208392,38,false,dfiechter2,2015-12-05T17:41:32Z,"medieval,celtic","Various Artists",0.234,0.368,9,-13.109,0,0.0323,0.00949,0.376,0.689,0.199,168.017,3
spotify:track:2UGn6SNAc2Sw3N770KRxo1,"The Ol' watermill","Irish Folk","Derek Fiechter;Brandon Fiechter",2015-02-28,183125,12,false,dfiechter2,2016-03-16T19:32:04Z,"medieval,celtic","Various Artists",0.389,0.206,2,-13.578,1,0.0325,0.623,0.00243,0.128,0.433,95.999,4
spotify:track:3iQ5ffA2AvHDMyFhlQwHc8,"Dance of the Forest Fauns","Pan's Forest","Brandon Fiechter",2021-01-07,220952,19,false,dfiechter2,2021-01-07T05:35:02Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.539,0.406,9,-18.814,0,0.0766,0.97,0.927,0.105,0.509,188.881,3
spotify:track:6jONvkYYhCy6pZVI19UfgG,"Hoists up the Sails","Scotland","Derek Fiechter;Brandon Fiechter",2015-11-30,188709,14,false,dfiechter2,2015-12-05T17:41:32Z,"medieval,celtic","Various Artists",0.529,0.547,4,-14.307,0,0.0322,0.00598,0.905,0.11,0.573,123.982,3
spotify:track:2RfbuVwsh0SCHOmJrVaFJS,"Dwarven Legend","Eternal Guardians","Ean Grimm",2020-09-11,213818,0,false,dfiechter2,2021-02-15T18:38:35Z,"medieval,celtic,renaissance","Ean Grimm",0.377,0.743,2,-8.746,0,0.0403,0.177,0.84,0.286,0.424,109.963,4
spotify:track:0eht6rrmOCjkeUv590OXMv,"Hobbit Celebration","Middle Earth (The Shire)","Derek Fiechter;Brandon Fiechter",2025-02-20,222439,10,false,dfiechter2,2025-02-20T05:54:40Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.528,0.162,7,-17.779,1,0.0539,0.936,0.96,0.148,0.599,122.93,4
spotify:track:4vkJSYs6T6unoGItQHKkrZ,"Brown Faun Inn","Pan's Forest","Brandon Fiechter;Derek Fiechter",2021-01-07,222600,12,false,dfiechter2,2021-01-07T05:31:58Z,"medieval,celtic","Derek Fiechter & Brandon Fiechter",0.513,0.283,11,-18.947,0,0.0436,0.97,0.94,0.113,0.47,150.028,3
spotify:track:2uDqZnwjwolMLYTliZ9aBS,"Roseville Fair","Roseville Fair","Órla Fallon",2020-07-03,257022,10,false,dfiechter2,2020-07-03T18:05:24Z,"celtic","Green Hill Productions",0.606,0.293,0,-11.888,1,0.0299,0.841,0.0000621,0.119,0.35,127.9,4
spotify:track:03vuSZT5p4h3cFQHTKbcJj,"Scottish Clan","Scotland","Derek Fiechter;Brandon Fiechter",2015-11-30,200625,21,false,dfiechter2,2015-12-05T17:41:32Z,"medieval,celtic","Various Artists",0.249,0.485,9,-17.826,0,0.0396,0.0000113,0.966,0.273,0.52,111.982,4
spotify:track:26VtkaPUaWYW7iQH3SbSnZ,"Two Blades","Eternal Guardians","Ean Grimm",2020-09-11,215040,0,false,dfiechter2,2021-02-15T18:43:45Z,"medieval,celtic,renaissance","Ean Grimm",0.408,0.563,4,-10.275,0,0.0373,0.131,0.552,0.396,0.309,125.016,4
