Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ydZRag9jS1VAXcUs8DAu9,"Heavy Fuel","On Every Street","Dire Straits",1991-09-10,309866,56,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.616,0.813,9,-8.069,1,0.0275,0.0164,0.0498,0.235,0.778,131.99,4
spotify:track:1bQ4zbP8Fo0qAePTSOfYji,"Coming Back to Life","The Division Bell","Pink Floyd",1994,379280,63,false,,1970-01-01T00:00:00Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.287,0.499,0,-11.094,1,0.0437,0.464,0.000652,0.102,0.142,176.437,4
spotify:track:6mPsYhcy0UIScC4YyekLr0,"Don't Believe Her","Crazy World","Scorpions",1990-01-01,295626,46,false,,1970-01-01T00:00:00Z,"hard rock,glam metal,rock","Island Mercury",0.497,0.887,7,-8.077,1,0.0531,0.00185,0.55,0.38,0.341,127.661,4
spotify:track:1KBuhAHzia2qoD4u6YhvER,"Stiff Upper Lip","Stiff Upper Lip","AC/DC",2000-02-25,214724,65,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.588,0.851,7,-4.206,1,0.033,0.0344,0.00773,0.16,0.706,123.691,4
spotify:track:6BZoQzNWl5vSzrsXryLpDv,"Stranger Than Fiction","Here Comes Trouble","Bad Company",1992,312933,34,false,,1970-01-01T00:00:00Z,"classic rock,aor,southern rock,hard rock","Rhino Atlantic",0.601,0.654,9,-10.324,0,0.0238,0.0039,0.00112,0.0714,0.533,90.001,4
spotify:track:6kO5VVgGb9jEZM9cKXoOqc,"Boom, Like That","Shangri-La","Mark Knopfler",2004-09-28,349106,50,false,,1970-01-01T00:00:00Z,"soft rock","EMI",0.619,0.671,7,-7.429,0,0.0243,0.132,0.0221,0.101,0.435,90.009,4
spotify:track:7CBFRsUz1pz1cS12soVhih,"Nightrain","Appetite For Destruction","Guns N' Roses",1987-07-21,268213,68,true,,1970-01-01T00:00:00Z,"rock,glam metal,hard rock,classic rock","Guns N Roses P&D",0.393,0.995,1,-4.946,1,0.103,0.13,0.00461,0.263,0.198,148.196,4
spotify:track:6LeptO47NxkMMkAz50aHGC,"When It Comes To You","On Every Street","Dire Straits",1991-09-10,299733,57,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.629,0.623,2,-9.007,0,0.0247,0.201,0.526,0.0687,0.781,87.535,4
spotify:track:78fh8ymSUdo9oWkShDZbT8,"Will You Be There (In The Morning)","Desire Walks On","Heart",1993-11-16,269800,47,false,,1970-01-01T00:00:00Z,"classic rock,aor,rock","Capitol Records",0.553,0.743,9,-6.794,1,0.0281,0.0365,0.0000165,0.194,0.528,166.499,4
spotify:track:5950DrTrZOgDxlQ6puFHBZ,"Rhythm of Love - 2015 - Remaster","Savage Amusement","Scorpions",1988-04-15,230680,41,false,,1970-01-01T00:00:00Z,"hard rock,glam metal,rock","BMG Rights Management GmbH",0.285,0.98,7,-2.398,0,0.0784,0.267,0.049,0.38,0.326,89.037,4
spotify:track:3FR2w9O5i9q3unY3gyjq6E,"Through The Mists Of Time","POWER UP","AC/DC",2020-11-13,212235,48,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.57,0.753,9,-5.98,1,0.0365,0.00000162,0.627,0.133,0.477,119.99,4
spotify:track:5upt9rusOPs3OKuHYdDh94,"Spark in the Dark","Trash","Alice Cooper",1989-07-25,232342,45,false,,1970-01-01T00:00:00Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Epic",0.413,0.975,0,-4.597,0,0.1,0.0203,0.00113,0.492,0.387,134.474,4
spotify:track:2dPTRjTrpjGUIuhPyfP9B5,"Beryl","Tracker (Deluxe)","Mark Knopfler",2015-03-09,190919,60,false,,1970-01-01T00:00:00Z,"soft rock","EMI",0.639,0.458,7,-11.211,0,0.034,0.784,0.096,0.267,0.599,140.547,4
spotify:track:0Rs2hWa2sAPBGpUzLh56U1,"Sailing","Man On The Rocks","Mike Oldfield",2014-01-01,286373,37,false,,1970-01-01T00:00:00Z,"progressive rock,new age","EMI",0.614,0.676,0,-7.258,1,0.0261,0.000852,0.017,0.14,0.619,123.016,4
spotify:track:1AH4vynITvfsVtpJq9NUB2,"The Man's Too Strong - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,278706,57,false,,1970-01-01T00:00:00Z,"classic rock","UMC (Universal Music Catalogue)",0.612,0.285,7,-14.482,1,0.0273,0.442,0.0000929,0.27,0.23,97.552,4
spotify:track:4f3RDq9nYPBeR1yMSgnmBm,"You've Got Another Thing Coming","Screaming For Vengeance (Expanded Edition)","Judas Priest",1982,310080,65,false,,1970-01-01T00:00:00Z,"heavy metal,metal,hard rock,glam metal","Sony Music UK",0.519,0.833,6,-6.947,0,0.0496,0.00572,0.00000433,0.104,0.532,138.225,4
spotify:track:6gFC9fHblxNGnuS2pPJoC1,"Coast to Coast (2015 - Remaster)","Lovedrive","Scorpions",1979-01-15,283106,35,false,,1970-01-01T00:00:00Z,"hard rock,glam metal,rock","BMG Rights Management GmbH",0.386,0.676,0,-4.838,1,0.0393,0.000116,0.842,0.0611,0.375,112.952,4
spotify:track:5XeMsYb1rWxQL1bUUaZajn,"Let Me Put My Love Into You","Back In Black","AC/DC",1980-07-25,256057,57,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.4,0.902,9,-4.385,1,0.0523,0.115,0.000116,0.139,0.632,105.659,4
spotify:track:3besbqbQ0SNltlL36FAMD2,"House of Fire","Trash","Alice Cooper",1989-07-25,227170,46,false,,1970-01-01T00:00:00Z,"glam rock,hard rock,glam metal,proto-punk,classic rock","Epic",0.479,0.979,10,-5.077,0,0.107,0.0207,0,0.722,0.292,124.764,4
spotify:track:325toqbCzE1g1pYIED7U4C,"Take It Back","The Division Bell","Pink Floyd",1994,372400,59,false,,1970-01-01T00:00:00Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.469,0.6,7,-11.155,1,0.0288,0.132,0.00606,0.273,0.135,112.426,4
spotify:track:45C4jgIaoZn2GKwGJTtPzX,"Can't You See","Can't You See","Sean Anthony Sullivan",2025-12-05,355484,29,false,,1970-01-01T00:00:00Z,"yacht rock","Flywheel Eighty-Eight",0.238,0.643,7,-7.517,1,0.032,0.0000126,0.00847,0.104,0.188,83.964,4
spotify:track:2RBcYkonAofm0rYycVrCGt,"Lady Writer","Communiqué","Dire Straits",1979-06-15,224666,73,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.633,0.809,1,-8.595,0,0.0282,0.103,0.611,0.0726,0.964,147.916,4
spotify:track:7BujMCC8IhoBorzOgBnj88,"Why Aye Man","The Ragpicker's Dream","Mark Knopfler",2002-09-30,372480,45,false,,1970-01-01T00:00:00Z,"soft rock","EMI",0.681,0.484,2,-10.84,0,0.0259,0.364,0.022,0.165,0.232,111.08,4
