Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2c1ccPqUnFYD8W7LY65bKG,"Black Night - 1995 Remaster","Deep Purple in Rock (Anniversary Edition)","Deep Purple",1970-06-03,209400,59,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","Parlophone UK",0.507,0.886,9,-8.889,1,0.0873,0.0546,0.363,0.0919,0.826,134.719,4
spotify:track:1KBuhAHzia2qoD4u6YhvER,"Stiff Upper Lip","Stiff Upper Lip","AC/DC",2000-02-25,214724,65,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.588,0.851,7,-4.206,1,0.033,0.0344,0.00773,0.16,0.706,123.691,4
spotify:track:2uMLlOwtXwccmeAhridHxu,"Throw My Bones","Whoosh!","Deep Purple",2020-08-07,218693,43,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","earMUSIC",0.343,0.894,7,-3.677,0,0.0774,0.0144,0.00000281,0.329,0.394,179.888,4
spotify:track:0IXpUl1fn2QZcBavfuq0H4,"Living After Midnight","British Steel","Judas Priest",1980,210133,61,false,,1970-01-01T00:00:00Z,"heavy metal,metal,hard rock,glam metal","Sony Music CG",0.61,0.824,4,-6.046,1,0.0534,0.0136,0.00000175,0.0606,0.819,134.992,4
spotify:track:3T6TEPxUsMFw9SejwRFe6z,"Strange Kind of Woman - 2002 Remaster","The Platinum Collection","Deep Purple",2005-06-17,231640,49,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","Rhino/Parlophone",0.576,0.82,11,-9.056,0,0.0564,0.00758,0.355,0.373,0.805,126.204,4
spotify:track:4Yqy0GpeDEXLibWJCZyQew,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989-09-02,282653,81,false,,1970-01-01T00:00:00Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,4
spotify:track:2JhJOPGvtqMpj5RQC8cIYf,"Perfect Strangers","Perfect Strangers","Deep Purple",1984-09-16,328426,66,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","Island Def Jam",0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,83,false,,1970-01-01T00:00:00Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
spotify:track:2Vim06YsRb4uJRpbeq6NR6,"Hush - 1998 Remaster","Shades of Deep Purple","Deep Purple",1968-07-01,266840,60,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","Parlophone UK",0.57,0.635,10,-10.231,1,0.0482,0.00459,0.176,0.0901,0.196,108.431,4
spotify:track:4PRGxHpCpF2yoOHYKQIEwD,"Rock and Roll - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,220560,69,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4
spotify:track:60ifqqPhbselSwXyGrGyMK,"Soldier Of Fortune - 2009 Digital Remaster","Stormbringer (Remastered)","Deep Purple",1974-11,204880,62,false,,1970-01-01T00:00:00Z,"hard rock,classic rock,rock","Parlophone Catalogue",0.533,0.313,2,-13.007,0,0.0298,0.386,0.00000464,0.0868,0.225,133.615,4
spotify:track:2SrVGpjv0mqCR6j9EZPSm2,"2 Minutes to Midnight - 2015 Remaster","Powerslave (2015 Remaster)","Iron Maiden",1984,363586,66,false,,1970-01-01T00:00:00Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,4
