Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6TF23qjJ82K7glU1SrVf8g,"Going Back West","More Boney M. Gold","Boney M.",1993-10-08,189066,52,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-26T15:34:40Z,"disco","MCI",0.975,0.491,2,-12.988,1,0.0673,0.00583,0.000252,0.0447,0.821,119.427,4
spotify:track:1mskmld5ZKEhRaNvYVPoqZ,"Gloria","Branigan","Laura Branigan",1982-03-10,289853,73,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-26T15:43:23Z,"","Atlantic Records",0.776,0.743,9,-6.807,1,0.0289,0.107,0.293,0.149,0.84,131.343,4
spotify:track:4GNilkZKILsug3l5pdLoxo,"Only You","Upstairs at Eric’s","Yazoo",1982-07-01,194173,66,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-03T15:59:27Z,"synthpop,new wave","Mute, a BMG Company",0.752,0.307,9,-17.063,1,0.0398,0.332,0.000135,0.0829,0.854,106.158,4
spotify:track:2Sh3g4QYQrIAsvgfTXmSaX,"Cambodia - Single Version","Select","Kim Wilde",1982,237706,1,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-03T16:55:36Z,"","Cherry Red Records",0.683,0.685,2,-5.96,0,0.0276,0.0208,0.0177,0.1,0.696,110.791,4
spotify:track:6LeptO47NxkMMkAz50aHGC,"When It Comes To You","On Every Street","Dire Straits",1991-09-10,299733,57,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-10T09:34:11Z,"classic rock","EMI",0.629,0.623,2,-9.007,0,0.0247,0.201,0.526,0.0687,0.781,87.535,4
spotify:track:1AH4vynITvfsVtpJq9NUB2,"The Man's Too Strong - Remastered 1996","Brothers In Arms (Remastered 1996)","Dire Straits",1985-05-13,278706,57,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-11T09:24:59Z,"classic rock","UMC (Universal Music Catalogue)",0.612,0.285,7,-14.482,1,0.0273,0.442,0.0000929,0.27,0.23,97.552,4
spotify:track:1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - 2005 Remaster","Sweet Dreams (Are Made Of This)","Eurythmics;Annie Lennox;Dave Stewart",1983-01-04,216933,85,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-11T11:02:07Z,"new wave,synthpop","RCA Records Label",0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,4
spotify:track:72CmDpJ0xhBitFCMC7SpRN,"The Ghost of Tom Joad - Live in Anaheim, CA with Tom Morello - April 2008","Magic Tour Highlights","Bruce Springsteen",2008-07-15,519826,38,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-11T11:21:44Z,"","Columbia",0.344,0.921,4,-4.801,0,0.128,0.26,0.0000782,0.955,0.171,80.664,4
spotify:track:2IJftBfq7pJ43tfnOR0RB3,"99 Luftballons","Nena","Nena",1983-09-23,231466,75,false,31rpowy4sdgjueopedqjacrdo6w4,2024-05-11T12:58:17Z,"neue deutsche welle,schlager,german pop","BMG Rights Management GmbH",0.636,0.467,4,-10.1,1,0.0421,0.0915,0.0000017,0.117,0.58,96.639,4
spotify:track:4lsEHglVsLzILTDQ3CNESV,"All for Love","If We Fall in Love Tonight","Rod Stewart",1996-11-12,281200,69,false,31rpowy4sdgjueopedqjacrdo6w4,2024-06-13T20:03:16Z,"soft rock","Warner Records",0.51,0.44,2,-11.015,1,0.0293,0.125,0,0.0994,0.135,74.8,4
spotify:track:1Cj2vqUwlJVG27gJrun92y,"The Sound of Silence","Immortalized","Disturbed",2015-08-14,248466,76,false,31rpowy4sdgjueopedqjacrdo6w4,2024-06-13T20:48:12Z,"metal,nu metal,alternative metal,rap metal,hard rock","Reprise",0.322,0.28,6,-9.367,0,0.0281,0.468,0.0000011,0.102,0.175,85.794,4
spotify:track:0odIT9B9BvOCnXfS0e4lB5,"Bette Davis Eyes","Mistaken Identity","Kim Carnes",1981-01-01,228000,80,false,31rpowy4sdgjueopedqjacrdo6w4,2024-06-21T14:13:57Z,"","Capitol Records",0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,4
spotify:track:5YjKdeES9QRJ8NmF4Xc8pV,"All I Wanna Do Is Make Love To You","Brigade","Heart",1990-03-25,310893,70,false,31rpowy4sdgjueopedqjacrdo6w4,2024-06-21T14:28:55Z,"classic rock,aor,rock","Capitol Records",0.626,0.746,7,-8.832,1,0.0282,0.16,0,0.0618,0.8,102.896,4
spotify:track:7EZC6E7UjZe63f1jRmkWxt,"Zombie","No Need To Argue (The Complete Sessions 1994-1995)","The Cranberries",1994-10-03,306440,28,false,31rpowy4sdgjueopedqjacrdo6w4,2024-09-03T22:21:19Z,"","Island Records",0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,4
spotify:track:3oY0qu8PC5gf7DkXP6ANx3,"Banana Boat Song","Banana Boat Song","Harry Belafonte",2012-11-01,184653,46,false,31rpowy4sdgjueopedqjacrdo6w4,2025-02-01T17:20:49Z,"calypso","Wnts",0.438,0.0698,1,-20.192,1,0.0998,0.973,0.0854,0.105,0.24,92.359,3
