Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:71fSn6OIF7HnCbgCzOBqpj,"Runnin' Wild","Runnin' Wild (Special Edition)","Airbourne",2007,222240,67,true,,2024-11-12T16:18:09Z,"hard rock","Nettwerk Music Group",0.47,0.947,10,-4.122,1,0.0929,0.000141,0.29,0.127,0.394,162.052,4
spotify:track:4iTlGw3WqMzBpQslxNZo4D,"Driving In Style","Driving In Style","Thundermother",2020-04-17,223666,36,false,,2024-11-12T16:18:09Z,"hard rock","AFM Records",0.495,0.948,9,-3.295,0,0.0527,0.0000098,0.00000194,0.0891,0.418,90.021,4
spotify:track:2dbOYFfS7r7NAzquRvji9A,"Balls to the Wall","Balls To The Wall","Accept",1983,342600,58,false,,2024-11-12T16:18:09Z,"heavy metal,speed metal,metal,thrash metal,hard rock","Portrait/Epic/Legacy",0.544,0.739,9,-7.383,1,0.0517,0.00392,0.000143,0.168,0.328,118.287,4
spotify:track:7aRs8vnr1XXWyjeYnFhvaO,"Sin on Skin","Point of No Return (Ultimate Edition)","Those Damn Crows",2021-02-05,235906,45,false,,2024-11-12T16:18:09Z,"","Earache Records",0.447,0.81,1,-7.528,0,0.0336,0.000315,0.000449,0.125,0.404,152.511,4
spotify:track:0eeH8SFeeaIv0lQz61cyL2,"Dangerous Ground","Dangerous Ground","H.E.A.T",2020-01-31,246826,26,false,,2024-11-12T16:18:09Z,"aor,arena rock,hard rock,glam metal,glam rock","earMUSIC",0.439,0.975,1,-3.798,1,0.131,0.000105,0.0000859,0.228,0.636,172.018,4
spotify:track:08irH52vpSQqYM8ckrsZqg,"Breakin' Outta Hell","Breakin' Outta Hell","Airbourne",2016-09-23,232425,56,true,,2024-11-12T16:18:09Z,"hard rock","Spinefarm",0.433,0.99,2,-3.427,1,0.154,0.0000545,0.751,0.153,0.231,172.067,4
spotify:track:2MC57MCOiCz2UGskL2uCVF,"Viva La Victoria","Paradigm","Eclipse",2019-10-11,191669,53,false,,2024-11-12T16:18:09Z,"aor,arena rock,power metal,hard rock","Frontiers Records s.r.l.",0.544,0.944,4,-6.161,1,0.0522,0.00266,0.00000148,0.103,0.572,135.076,4
spotify:track:0UaShHFx76Pwe2K5tgMiRd,"Unspoken","Holy Ground","The Dead Daisies",2021-01-22,287721,33,false,,2024-11-12T16:18:09Z,"hard rock","The Dead Daisies Pty Limited",0.41,0.897,8,-6.108,1,0.0794,0.0000938,0.583,0.098,0.387,135.037,4
spotify:track:249XHhBxBOblTCYStaC27L,"Koolaid","The Rise of Chaos","Accept",2017-08-04,299720,47,false,,2024-11-12T16:18:09Z,"heavy metal,speed metal,metal,thrash metal,hard rock","Nuclear Blast",0.548,0.904,11,-5.197,1,0.03,0.000429,0.0842,0.37,0.342,129.016,4
spotify:track:4f3RDq9nYPBeR1yMSgnmBm,"You've Got Another Thing Coming","Screaming For Vengeance (Expanded Edition)","Judas Priest",1982,310080,65,false,,2024-11-12T16:18:09Z,"heavy metal,metal,hard rock,glam metal","Sony Music UK",0.519,0.833,6,-6.947,0,0.0496,0.00572,0.00000433,0.104,0.532,138.225,4
spotify:track:1TeKDrgczhz1UvfpjzyjHD,"Limbo Man","Mojo Skyline","The Dust Coda",2021-03-26,263156,36,false,,2024-11-12T16:18:09Z,"","Earache Records Ltd",0.549,0.932,8,-4.218,1,0.108,0.000901,0,0.0686,0.666,144.945,4
spotify:track:0o9LLsw9lLWnPAfYp4FaXd,"Don't Tell Me How To Live","Sittin' Heavy","Monster Truck",2016-02-19,266093,43,false,,2024-11-12T16:18:09Z,"southern rock","Mascot Records",0.33,0.909,2,-4.994,0,0.0648,0.0000236,0.0655,0.376,0.384,150.922,4
