Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:71LvE7g8Op4pCbytcVswNC,"Cogli la prima mela","Studio Collection","Angelo Branduardi",1998-01-01,200400,18,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","Lungomare Srl",0.382,0.595,4,-13.632,0,0.0345,0.0901,0,0.153,0.951,78.834,4
spotify:track:62SbGJGdH4RUNhDeOZ8zhc,"Tarantella Napoletana","Authentic Italy","Orchestra Mandolinistica Italiana",1995-12-31,125493,47,false,,2024-05-22T11:01:00Z,"","Sonoton Authentic Series",0.729,0.527,8,-9.342,1,0.0515,0.342,0.65,0.167,0.926,133.849,4
spotify:track:1Puba5jAd2n2Rw6PMSHvz7,"Vesuvio","Diavule a quatto","e Zezi Gruppo Operaio",2011-01-01,242053,30,false,,2024-05-22T11:01:00Z,"canzone napoletana","E Zèzi Gruppo Operaio",0.7,0.54,8,-10.183,1,0.041,0.225,0.00156,0.0693,0.46,119.994,4
spotify:track:4Y3WfBJo7kwWkvzU8jzbno,"Crêuza de mä - New Mix 2014","Creuza de ma","Fabrizio De André",1984,375813,43,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","RCA Records Label",0.609,0.383,2,-11.94,1,0.0328,0.54,0.000586,0.382,0.472,126.554,4
spotify:track:7pkUl1QI47HyjzqilOHmJH,"El minestron","Il meglio","Nanni Svampa",1995-07-01,514000,27,false,,2024-05-22T11:01:00Z,"italian singer-songwriter","DV More",0.582,0.329,0,-12.831,1,0.114,0.844,0,0.0789,0.887,128.061,4
spotify:track:5OdNwgIVKLeYGs2q5NCM2f,"Tammurriata Nera","Antologia","Nuova Compagnia Di Canto Popolare",1999-01-01,292266,39,false,,2024-05-22T11:01:00Z,"canzone napoletana,traditional music","EMI Marketing",0.793,0.727,0,-7.38,1,0.0752,0.626,0.00000198,0.18,0.632,120.97,4
spotify:track:2OoWKE1lBXoXA4E4JRDrQX,"Romagna Mia","Balliamo con Successi di Casadei - Romagna Mia Vol 2","Casadei",1995,203000,32,false,,2024-05-22T11:01:00Z,"","Duck Records",0.339,0.261,2,-12.252,1,0.0392,0.454,0.00000236,0.158,0.704,205.062,3
spotify:track:2Sq04hj8mwhxMegWcAkJy8,"O bella ciao","Italian Classics: Giorgio Gaber Collection, Vol. 2","Giorgio Gaber",2010-01-09,92000,32,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","Peer Southern Productions",0.696,0.551,2,-7.771,0,0.0791,0.205,0,0.0956,0.974,141.474,4
spotify:track:5NXed6JSpuzzolR3o0uQo1,"Riturnella","Taranta Collection","Eugenio Bennato",2003-01-01,250346,28,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,canzone napoletana,singer-songwriter","Rai Com",0.732,0.699,7,-7.535,1,0.0388,0.0939,0,0.104,0.878,133.925,4
spotify:track:2dmytPrJjQz5qdYW5sCLYv,"Bella Ciao (1943-1945) - 2004 Digital Remaster","Non So, Non Ho Visto, Se C'Ero Dormivo / I Gufi Cantano Due Secoli Di Resistenza","I Gufi",2004-01-01,170041,25,false,,2024-05-22T11:01:00Z,"italian singer-songwriter","CAPITOL MUSIC",0.611,0.491,2,-7.285,0,0.0316,0.736,0,0.0751,0.426,112.23,3
spotify:track:6ssk059iBBWEmwPmlBguQa,"La Societa' Dei Magnaccioni","Il Meglio Di Lando Fiorini Vol 6","Lando Fiorini",1993,169493,39,false,,2024-05-22T11:01:00Z,"italian singer-songwriter","Duck Records",0.555,0.394,5,-15.249,1,0.0709,0.66,0,0.083,0.874,131.213,4
spotify:track:2EOv2zPzgycW7x3IFPnzsC,"A Seissento","Piccon, dagghe cianìn (Antologia della canzone genovese)","Piero Parodi",2001,135320,11,false,,2024-05-22T11:01:00Z,"","Devega",0.713,0.401,0,-13.721,1,0.414,0.907,0.0000018,0.657,0.843,123.853,4
spotify:track:3hUN8kB37Jntfka1RlmMpC,"L'uselin della comare","Il meglio","Nanni Svampa",1995-07-01,156000,33,false,,2024-05-22T11:01:00Z,"italian singer-songwriter","DV More",0.568,0.323,2,-14.316,1,0.0555,0.772,0,0.115,0.72,92.837,4
spotify:track:2rfXECBFWwY8DZqztpGSPE,"Fischia il vento","Emilia Romagna: Noi siam le canterine antifasciste. I canti delle mondine di Lavezzola (A cura di Cristina Ghirardini)","Coro della Bassa Romagna",2012,181466,18,false,,2024-05-22T11:01:00Z,"traditional music,traditional folk","Nota",0.454,0.103,3,-13.952,1,0.0373,0.978,0,0.16,0.484,128.819,3
spotify:track:4pXzCdAkHSCKWM097zyjBP,"Mia mamma veul che fila","Le cansson d'porta pila","Gipo Farassino;Giuanin d' Porta Pila;Riz Samaritano",2013-04-30,161386,23,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,traditional music,traditional folk","Pull Music Publishing",0.738,0.474,0,-8.975,1,0.0431,0.73,0,0.0631,0.894,132.433,4
spotify:track:3BJd5zfAoJkwICtzLgryla,"Valzer per un amore","Canzoni","Fabrizio De André",1974-10-17,220893,27,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","Ricordi",0.329,0.22,6,-13.315,0,0.0316,0.796,0.019,0.044,0.421,178.632,3
spotify:track:3FnAUkreymiwHFin8jaoEh,"Te possino dà tante cortellate","Roma mia bella","Gabriella Ferri",1966-01-01,189973,22,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,canzone napoletana","Saar Srl",0.577,0.142,4,-15.733,0,0.0657,0.966,0.0351,0.11,0.359,140.937,3
spotify:track:4DLZpY749gEde3ViroUAaK,"Funiculì funiculà","Gran concerto napoletano, Vol. 3","Roberto Murolo",2014-12-31,139128,34,false,,2024-05-22T11:01:00Z,"canzone napoletana,italian singer-songwriter","Società Fonografica Napoletana",0.682,0.292,1,-9.843,1,0.161,0.988,0.00197,0.146,0.425,134.598,4
spotify:track:0tGEeEfFsYVKFrFzHxtLkC,"La mazurka di periferia - Mazurka","La mazurka di periferia","Raoul Casadei",1974-01-01,160012,29,false,,2024-05-22T11:01:00Z,"polka","Sony Music/BMG Rights Management",0.654,0.514,9,-8.387,0,0.0601,0.372,0.221,0.0997,0.871,161.627,4
spotify:track:5LirriLWYweaVoH1mKe3QH,"Malarazza","Diavule a quatto","e Zezi Gruppo Operaio",2011-01-01,238600,17,false,,2024-05-22T11:01:00Z,"canzone napoletana","E Zèzi Gruppo Operaio",0.449,0.605,0,-9.67,0,0.0692,0.0872,0,0.324,0.464,143.019,4
spotify:track:2WFb2URgZO6EpiEnQH7frY,"La leggenda di Colapesce","Storie e leggende del sud","Otello Profazio",1965-12-17,204533,30,false,,2024-05-22T11:01:00Z,"","Warner Music",0.573,0.198,8,-15.165,0,0.0419,0.936,0.0000545,0.0911,0.609,108.814,4
spotify:track:6EdPf4qCFb8MLvzB2V3vVJ,"'Â duménega - Alternative Mix 2014","Creuza de ma","Fabrizio De André",1984,218066,20,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","RCA Records Label",0.525,0.764,2,-10.796,1,0.0449,0.641,0.0000508,0.222,0.558,176.932,3
spotify:track:5AOoQfkxTmF2aYh1qeMfgB,"La balilla","Le cansson d'porta pila","Gipo Farassino;Giuanin d' Porta Pila;Riz Samaritano",2013-04-30,121173,21,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,traditional music,traditional folk","Pull Music Publishing",0.878,0.665,11,-7.906,1,0.176,0.741,0,0.0293,0.969,127.027,4
spotify:track:1RFFEiB5Nezbx2uitP6qTa,"Osteria n° 1","La mia Roma, Vol. I","Alvaro Amici",2019-02-26,167278,25,false,,2024-05-22T11:01:00Z,"","Vis Radio",0.59,0.396,7,-8.122,1,0.0493,0.244,0,0.118,0.971,130.367,4
spotify:track:4bBfrkTv4zSwgnut9COwSe,"Nella casa dei venti","Sicilia - canto nuovo","PARISI;Laguardia;Lazzaro",2003,201426,20,false,,2024-05-22T11:01:00Z,"traditional folk","Iris music",0.653,0.251,0,-19.187,1,0.0632,0.346,0.524,0.0757,0.705,122.008,4
spotify:track:4LEtwzkjj8J53drw23VwBC,"Quel mazzolin di fiori","Madonnina dai riccioli d'oro","I Girasoli",1997-07-01,241200,33,false,,2024-05-22T11:01:00Z,"","Fonola dischi",0.66,0.66,5,-5.405,1,0.0324,0.748,0,0.377,0.865,117.943,4
spotify:track:3qVlH46JbVYvvs4qTuJ6JS,"Il testamento del capitano","Alpini inni e canti per il 150°","Gruppo Coro Alpini Di Oderzo",2011-03-09,239960,15,false,,2024-05-22T11:01:00Z,"traditional folk","Tin Bota Record",0.257,0.178,8,-13.589,1,0.0333,0.987,0.0000524,0.0937,0.251,86.291,4
spotify:track:71zhmbFDlvzMHyIUbVwp3D,"Roma Nun Fà La Stupida Stasera","Nino Manfredi","Nino Manfredi;Manuel De Sica;Aldo Fabrizi;Lando Fiorini;Bice Valori;Ornella Vanoni",2003-06-18,532080,32,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,italo disco","RCA Records Label",0.189,0.322,7,-11.115,0,0.0395,0.972,0.079,0.181,0.123,78.189,3
spotify:track:2d4INZvFquJrBpy4cIfDWh,"Ma se ghe penso","Questo sono io","Bruno Lauzi",1971-11-01,187570,17,false,,2024-05-22T11:01:00Z,"italian singer-songwriter,singer-songwriter","BMG Rights Management Italy S.R.L.",0.411,0.15,4,-12.296,1,0.0453,0.874,0,0.288,0.426,97.427,4
spotify:track:0wD7m7q7Nmim5Ebh2SjO5K,"kalinitta (serenata Grika)","Tre Tarante","Arakne Mediterranea",2001-06-01,347794,14,false,,2024-05-22T11:01:00Z,"traditional folk","4323884 Records DK2",0.332,0.47,2,-6.963,1,0.0301,0.797,0.0000248,0.0611,0.602,93.612,4
spotify:track:6WBG9rkWFRCqVKWG4BAUDV,"Malafemmena","Roberto Murolo - Rarities 1965","Roberto Murolo",2015-12-23,217706,34,false,,2024-05-22T11:01:00Z,"canzone napoletana,italian singer-songwriter","RCA Records Label",0.555,0.0143,4,-24.333,1,0.0476,0.977,0.0000329,0.0911,0.311,111.8,4
spotify:track:5sfDl7LiUkahVjrKEDGOQm,"Pizzica di San Vito","Taranta d'amore","Ambrogio Sparagna & Orchestra Popolare Italiana dell'Auditorium Parco della Musica",2009-11-30,259560,15,false,,2024-05-22T11:01:00Z,"traditional music,traditional folk","Parco della Musica Records",0.631,0.691,9,-6.931,0,0.0333,0.583,0.000121,0.0993,0.727,97.558,4
spotify:track:7iQFLgXtoJSeBkncI2VIh0,"Le tre bandiere","Canti rivoluzionari italiani","Canzoniere delle Lame",1972-10-15,83200,20,false,,2024-05-22T11:01:00Z,"","Way Out",0.659,0.446,4,-11.375,1,0.0857,0.862,0,0.0832,0.537,128.531,4
spotify:track:3GliiRY9ovczQf4Jc3A3Gh,"A vita è na taranta","Candelora","Nuova Compagnia Di Canto Popolare",2005-02-01,235106,26,false,,2024-05-22T11:01:00Z,"canzone napoletana,traditional music","Rai Com",0.477,0.586,2,-8.907,1,0.0394,0.712,0.00000344,0.101,0.542,159.747,4
spotify:track:1Sflc8jNBqtw10iKh40YYj,"Chitarra romana","Roma 4 Vol. 1 & 2","Claudio Villa",2010-06-22,209853,29,false,,2024-05-22T11:01:00Z,"canzone napoletana","Fonit Cetra WMI",0.545,0.124,2,-14.913,0,0.049,0.882,0.00000785,0.124,0.486,119.758,4
spotify:track:2Iab8VFVJVHMIejRzhsTlc,"Reginella campagnola","Madonnina dai riccioli d'oro","I Girasoli",1997-07-01,218373,34,false,,2024-05-22T11:01:00Z,"","Fonola dischi",0.772,0.771,3,-3.905,1,0.0548,0.603,0,0.0515,0.846,123.857,4
