Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:12PHxHRb1eBihhxHOxxF6O,"Made For Love","Made For Love","Korolova;Agents Of Time;Conor Ross",2025-11-28,241889,50,false,t!cktack,2026-01-02T23:54:12Z,"melodic techno,melodic house,progressive house,techno","Disorder Artist & Label Services",0.573,0.891,1,-7.174,0,0.0409,0.00444,0.455,0.0829,0.0334,127.017,4
spotify:track:7gRtJJvlVYPIHOZEfBEmLB,"Aero","ANTI 02","YOTTO",2025-11-20,510720,33,false,t!cktack,2026-01-02T23:54:33Z,"melodic house,progressive house,melodic techno,deep house","Odd One Out",0.736,0.843,2,-6.927,1,0.0512,0.0000796,0.888,0.0819,0.24,125.004,4
spotify:track:35wNOGOyGgYtmZkheJfcme,"The Other Side","The Other Side","Chris Avantgarde;Eddie Thoneick;Kisch",2025-11-21,327643,41,false,t!cktack,2026-01-02T23:54:54Z,"melodic techno,melodic house,techno,tribal house,latin house,house","Hyperreal / Boom.Records",0.609,0.887,2,-9.014,0,0.0444,0.00319,0.609,0.0404,0.0514,126.014,4
spotify:track:4Xx7k0e3pq5BMdrOGm2LmN,"Running Guns","Rhythm Of Love EP","Jats (ofc)",2025-11-07,369268,13,false,t!cktack,2026-01-02T23:55:06Z,"afro tech,afro house,melodic house","VIVa MUSiC",0.655,0.952,5,-4.934,1,0.0372,0.0115,0.593,0.0893,0.364,123.015,4
spotify:track:75z2GddeGizSAH6PmXUk53,"Blueprint - Matt Fax Reprint","Blueprint (Matt Fax Reprint)","Ferry Corsten;Matt Fax",2025-11-21,261120,33,false,t!cktack,2026-01-02T23:55:23Z,"trance,progressive trance,progressive house,melodic house","Black Hole Recordings",0.563,0.92,0,-7.784,1,0.0367,0.000523,0.803,0.52,0.182,124.985,4
spotify:track:1QsLT0Nw8cbeo3PhIMBTFz,"Rico - Radio Edit","Rico","Space Motion;REVOL(ofc)",2025-11-07,212903,45,false,t!cktack,2026-01-02T23:55:38Z,"melodic techno,afro house,melodic house,afro tech,progressive house,tribal house","Space Motion Records",0.716,0.904,7,-5.356,1,0.0517,0.0272,0.0925,0.0921,0.216,124.008,4
spotify:track:0hf5lrj9XaIMzKCQNlVV6p,"This Feeling","This Feeling","BOg",2025-10-24,279226,28,false,t!cktack,2026-01-02T23:55:49Z,"melodic techno,melodic house,progressive house","ATLANT",0.803,0.859,7,-8.098,1,0.0648,0.00024,0.839,0.0255,0.2,125.02,4
spotify:track:76u4tH1ChOwT1vrDX4j0Gx,"Ghost Rider","Ghost Rider | the Oracle | Vanishing","Taylan",2025-11-07,423750,18,false,t!cktack,2026-01-02T23:56:03Z,"melodic techno,progressive house,melodic house,organic house","Sunexplosion",0.775,0.876,10,-6.804,0,0.058,0.00868,0.854,0.0841,0.106,123.001,4
spotify:track:18d6tKtNSpow0iQq1OCpIX,"Different Way - ARTBAT Remix","Different Way (ARTBAT Remix)","BLOND:ISH;Zeeba",2025-10-15,193920,51,false,t!cktack,2026-01-02T23:56:16Z,"afro house,techengue,latin house","Insomniac Records",0.557,0.91,11,-6.403,0,0.0356,0.0303,0.000267,0.066,0.17,125.044,4
spotify:track:0TQ5OOlGYqTED5pj07nPSN,"Who Das - Hernan Cattaneo, Marcelo Vasami Remix Edit","Who Das","PAAX (Tulum);Hernan Cattaneo;Marcelo Vasami",2025-11-07,210731,37,false,t!cktack,2026-01-02T23:56:31Z,"organic house,tribal house,downtempo,progressive house,melodic techno,melodic house,electronica,dub techno","Songuara",0.659,0.911,9,-8.645,0,0.0326,0.000084,0.695,0.291,0.047,122.996,4
spotify:track:1RS1pjAkthdk8qZIDuyiQh,"Mangatune","Sinfonia EP","Carl Bee",2024-08-16,394356,27,false,t!cktack,2026-01-02T23:56:43Z,"melodic techno,indie dance,melodic house,tech house","Diynamic Music",0.693,0.878,6,-7.489,1,0.0545,0.00292,0.781,0.0567,0.454,126.999,4
spotify:track:6yV0lGuy2tYHR4OpxrLtGo,"Sun In Your Eyes - Marsh Remix","Sun In Your Eyes (Marsh Remix)","Above & Beyond;Marsh",2025-10-30,247524,40,false,t!cktack,2026-01-02T23:57:02Z,"trance,progressive trance,progressive house,melodic house,organic house,deep house,melodic techno","Anjunabeats",0.341,0.753,7,-8.728,0,0.039,0.0264,0.947,0.0935,0.121,125.974,4
spotify:track:3lDBo8CXgQQyEfFqK6JWWF,"Fight For Life","Fight For Life","Korolova;Artem Pivovarov;Usyk",2025-07-18,158095,37,false,t!cktack,2025-07-29T20:19:29Z,"melodic techno,melodic house,progressive house","Captive Soul",0.638,0.878,1,-8.689,1,0.0604,0.034,0.293,0.0905,0.228,125.986,4
spotify:track:5jRA4KoWwHvQFPYFOOlJS7,"Keep It Real","Keep It Real","Korolova;DAMEN",2025-02-07,127500,42,false,t!cktack,2025-07-29T20:20:04Z,"melodic techno,melodic house,progressive house","Tomorrowland Music",0.677,0.808,7,-5.382,1,0.138,0.0269,0.0000251,0.423,0.342,128.038,4
spotify:track:0hSuV2otL5a1tl8pByCiAt,"Arrival","Arrival","KREAM",2025-01-31,204285,64,false,t!cktack,2025-07-29T20:20:21Z,"","Liquid Lab",0.731,0.932,9,-5.366,1,0.037,0.00305,0.932,0.0747,0.102,125.997,4
spotify:track:0omwUIyTYxmjkC1jEp8tq8,"You're Not Alone","You're Not Alone","P.O.U;Delta Vaults;Rory Hope",2025-06-20,211200,33,false,t!cktack,2025-07-29T20:20:40Z,"melodic techno,melodic house","Epic247 Recordings",0.553,0.86,7,-6.625,0,0.0362,0.00316,0.741,0.12,0.0864,125.003,4
spotify:track:3wZXYxSl00Yp59fvXSvjiC,"Higher Calling","Higher Calling","Korolova;Julia Sanina",2025-03-28,217380,48,false,t!cktack,2025-07-29T20:22:31Z,"melodic techno,melodic house,progressive house","Captive Soul",0.636,0.887,0,-5.953,0,0.0412,0.0406,0.0142,0.0903,0.0776,126.015,4
spotify:track:1k7CJjdUHWs67jHcAMDCvo,"Vorozhyla","Vorozhyla","Korolova;Rokston;Go_A;Monokate",2024-09-06,185365,51,false,t!cktack,2025-07-29T20:23:10Z,"melodic techno,melodic house,progressive house","Tomorrowland Music",0.596,0.901,0,-7.481,0,0.0347,0.00194,0.193,0.118,0.204,123.011,4
spotify:track:6XdGGCQ8M9NpEU1JYFwewW,"Pulsar - Radio Mix","Pulsar","Alan Wools;Etonika",2025-07-18,202204,21,false,t!cktack,2025-07-29T20:25:09Z,"melodic techno,techno,progressive house,melodic house","AE Music",0.644,0.936,11,-4.919,0,0.0871,0.00339,0.712,0.159,0.302,126.992,4
