Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PRGxHpCpF2yoOHYKQIEwD,"Rock and Roll - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,220560,69,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.317,0.887,9,-7.292,1,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4
spotify:track:4Yqy0GpeDEXLibWJCZyQew,"Kickstart My Heart","Dr. Feelgood","Mötley Crüe",1989-09-02,282653,81,false,,1970-01-01T00:00:00Z,"glam metal,glam rock,hard rock","BMG Rights Management (US) LLC",0.363,0.982,7,-3.621,0,0.3,0.00123,0.00218,0.284,0.275,179.23,4
spotify:track:0QwZfbw26QeUoIy82Z2jYp,"Good Times Bad Times - 1993 Remaster","Led Zeppelin","Led Zeppelin",1969-01-12,166266,69,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.476,0.717,9,-9.192,1,0.0949,0.0382,0.0000761,0.0818,0.753,93.584,4
spotify:track:6mFkJmJqdDVQ1REhVfGgd1,"Wish You Were Here","Wish You Were Here","Pink Floyd",1975-09-12,338466,83,false,,1970-01-01T00:00:00Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4
spotify:track:78lgmZwycJ3nzsdgmPPGNx,"Immigrant Song - Remaster","Led Zeppelin III (Remaster)","Led Zeppelin",1970,146250,78,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
spotify:track:0C80GCp0mMuBzLf3EAXqxv,"Shoot to Thrill","Back In Black","AC/DC",1980-07-25,318231,76,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4
spotify:track:5CQ30WqJwcep0pYcV4AMNc,"Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,80,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
spotify:track:2RBcYkonAofm0rYycVrCGt,"Lady Writer","Communiqué","Dire Straits",1979-06-15,224666,73,false,,1970-01-01T00:00:00Z,"classic rock","EMI",0.633,0.809,1,-8.595,0,0.0282,0.103,0.611,0.0726,0.964,147.916,4
spotify:track:5hhVpGIBlqAU5yJEOmrk5o,"All My Love - Remaster","In Through the out Door (Remaster)","Led Zeppelin",1979-08-15,353720,67,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.554,0.791,7,-8.326,1,0.0288,0.113,0.0000176,0.166,0.697,91.108,4
spotify:track:6hTcuIQa0sxrrByu9wTD7s,"Born to Run","Born To Run","Bruce Springsteen",1975-08-25,269932,73,false,,1970-01-01T00:00:00Z,"","Columbia",0.27,0.944,4,-4.199,1,0.0975,0.00501,0.0000205,0.116,0.606,146.347,4
spotify:track:05f8Hg3RSfiPSCBQOtxl3i,"When the Levee Breaks - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,428851,66,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.271,0.766,5,-8.03,1,0.0329,0.00217,0.52,0.0707,0.803,142.914,4
spotify:track:4nXkbcTj3nyww1cHkw5RAP,"Long Train Runnin'","The Captain and Me","The Doobie Brothers",1973,207266,75,false,,1970-01-01T00:00:00Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4
spotify:track:0hCB0YR03f6AmQaHbwWDe8,"Whole Lotta Love - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,333893,78,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
spotify:track:4OROzZUy6gOWN4UGQVaZMF,"The Trooper - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,252733,76,false,,1970-01-01T00:00:00Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
spotify:track:3qT4bUD1MaWpGrTwcvguhb,"Black Dog - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,295386,73,false,,1970-01-01T00:00:00Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,4
spotify:track:3DwQ7AH3xGD9h65ezslm6q,"Enter Sandman - Remastered 2021","Metallica (Remastered Deluxe Box Set)","Metallica",2021-09-10,331560,85,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,4
