Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3VY92N8E7bbuoBH4aBD79X,"Hysteria - Radio Edit","Hysteria (Super Deluxe)","Def Leppard",1987-08-03,228534,34,false,,2026-01-25T18:57:27Z,"glam metal,glam rock,classic rock","UMC (Universal Music Catalogue)",0.676,0.847,7,-5.565,1,0.0258,0.0591,0.00408,0.233,0.716,106.994,4
spotify:track:2PFIZFcGry0po3ZfRZkzKc,"Hysteria","Hysteria","Def Leppard",1987-08-03,354636,75,false,,2026-01-25T17:54:13Z,"glam metal,glam rock,classic rock","UMC (Universal Music Catalogue)",0.659,0.846,7,-5.508,1,0.0274,0.0318,0.0144,0.203,0.659,107.01,4
spotify:track:0G0KIpUGAhn3Hp6huH5hLz,"Where Do You Go?","Where Do You Go?","TJ Gurn",2025-05-01,238333,6,false,,2025-12-03T17:29:21Z,"","TJ Gurn",0.567,0.303,8,-8.951,1,0.0294,0.404,0.0000257,0.193,0.223,144.246,4
spotify:track:7k2YkYZsJfx1ArzbNsCIPS,"A Glass of Champagne","A Glass of Champagne","Belinda Howard",2025-09-11,150204,14,true,,2025-12-03T17:18:27Z,"","K-Works/EMI- Sony Music. Publishing for the USA only.Published by Sashay Music. Inc.-All Rights Administered by Chappel",0.643,0.891,10,-5.189,1,0.05,0.0401,0.000019,0.274,0.875,139.974,4
spotify:track:1YaLMba3ZJY6D0vemRrcNf,"Eternity","Ascension","Celestial Apexion",2025-09-01,257919,36,false,,2025-12-03T16:50:05Z,"aor,arena rock","Salerno Studios",0.435,0.729,10,-9.177,1,0.0442,0.000143,0.00000524,0.36,0.0972,129.055,4
spotify:track:0fSxVVrCzsSeHcTvaDxlBz,"Carry Me Away","Ascension","Celestial Apexion",2025-09-01,211959,39,false,,2025-12-03T16:44:19Z,"aor,arena rock","Salerno Studios",0.562,0.725,9,-8.301,1,0.0375,0.0000162,0.0000463,0.134,0.22,129.479,4
spotify:track:5glixrXE0xtxbMQchXNtxL,"The Story","Vengeance Is Mine","Serious Black",2022-02-25,231746,42,false,,2025-12-02T14:04:52Z,"power metal,symphonic metal,speed metal","AFM Records",0.482,0.587,11,-5.195,1,0.0271,0.0312,0.0000367,0.223,0.129,93.683,4
spotify:track:4eMxLQtSdgxdA1Hs6D2YuN,"In Hell I'll Be in Good Company","Good Company","The Dead South",2014-04-26,245320,68,false,,2025-11-22T15:39:09Z,"bluegrass,southern gothic,newgrass","Six Shooter Records Inc.",0.772,0.235,7,-9.075,0,0.0479,0.753,0.00125,0.111,0.703,154.802,4
spotify:track:65Pcgf4LVtFACTkkZcl1Rm,"Braveheart Child","Braveheart Child","Ulfhednar AImusic",2025-08-29,269679,32,false,,2025-11-09T18:59:23Z,"chinese rock","9334651 Records DK",0.368,0.91,10,-7.126,0,0.0851,0.000374,0.000102,0.174,0.37,174.023,4
spotify:track:1StSykSTb6KsBHCGxA36AF,"Holding On","Holding On","Notörious",2025-07-04,307005,17,false,,2025-11-08T21:42:32Z,"aor,glam metal,arena rock,hard rock","No Name",0.68,0.539,11,-9.469,1,0.0329,0.000485,0.792,0.171,0.249,123.912,4
spotify:track:3oKImkA8UM1NTsvoBBcm39,"Turn Up the Radio","Turn Up the Radio","Steve Plunkett",2025-08-19,286363,5,false,,2025-08-31T07:32:29Z,"aor,arena rock,glam metal","Cleopatra Records",0.642,0.585,2,-6.372,1,0.0327,0.000399,0.00301,0.22,0.329,110.024,4
spotify:track:0og2U8tsBAR7NJysRR6uBU,"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980","Friday Night in San Francisco","Al Di Meola;John McLaughlin;Paco de Lucía",1981,693060,46,false,,2025-08-20T14:07:03Z,"jazz fusion,flamenco,jazz","Columbia/Legacy",0.415,0.576,4,-11.628,0,0.0331,0.834,0.808,0.698,0.556,100.54,4
spotify:track:6qHbew6CbbKGlYyqGXpPn6,"Regal Terror","Regal Terror","Tokt",2025-05-09,219320,21,true,,2025-08-02T11:08:06Z,"","RB RECORDS",0.42,0.786,4,-6.388,0,0.0412,0.000384,0.00499,0.564,0.0526,161.973,4
spotify:track:0S3gpZzlT9Hb7CCSV2owX7,"Mama, I'm Coming Home","No More Tears (Expanded Edition)","Ozzy Osbourne",1991-09-17,251869,75,false,,2025-08-02T10:51:24Z,"metal,glam metal,heavy metal,hard rock","Epic",0.282,0.656,8,-6.557,1,0.0302,0.0105,0,0.0892,0.242,139.352,4
spotify:track:78PKCefXwDLbl4FVO1Pjzh,"Dreamer","Down To Earth","Ozzy Osbourne",2001-10-16,284902,69,false,,2025-08-02T10:08:12Z,"metal,glam metal,heavy metal,hard rock","Epic",0.493,0.636,1,-7.408,1,0.0256,0.0629,0.00000249,0.0921,0.279,79.419,4
spotify:track:1nr9EZdOkarDuJQL8SKZmO,"In The Name Of Rock'n'Roll","In The Name Of Rock'n'Roll","Nestor",2025-05-06,280305,35,false,,2025-08-02T10:03:49Z,"aor,arena rock","Napalm Records Handels GmbH",0.491,0.858,9,-4.909,1,0.0315,0.000117,0.000184,0.147,0.724,142.056,4
spotify:track:1bQjuXwF1bJQnW3MiuaIR6,"We Remember You","GO!","Roulette",2025-07-25,221812,18,false,,2025-07-31T20:33:04Z,"aor,arena rock","Black Lodge Records",0.607,0.778,6,-4.389,1,0.0326,0.000553,0.000184,0.0648,0.519,129.985,4
spotify:track:5EVsH8gD8JRdhk4Y8nscmM,"Stolen Hearts","Defenders of the Ionosphere","The Vatcher Brothers",2024-01-26,240545,23,false,,2025-07-31T17:51:31Z,"","Beaternity Records",0.569,0.572,9,-6.301,1,0.0288,0.0755,0,0.0932,0.432,109.959,4
spotify:track:7hpAAp6MHdHg02ivp9Qbq0,"go far from me","go far from me","GELASTER MUSIC",2025-03-05,192298,21,false,,2025-07-31T17:31:21Z,"","GELASTER MUSIC",0.464,0.56,2,-13.176,0,0.0385,0.000144,0.0000424,0.495,0.256,90.106,4
spotify:track:2YA3X19t7YDIzSJCQLt1rD,"Believing","Believing","Rocker C",2024-08-09,262071,40,false,,2025-07-30T05:09:59Z,"","EC Music",0.457,0.817,5,-5.637,0,0.0343,0.0516,0.000336,0.0919,0.228,139.939,4
spotify:track:2Qmf8FFj2zKicY86pitOI3,"Light Can Only Shine In The Darkness","Light Can Only Shine In The Darkness","Lord Of The Lost;Within Temptation",2025-07-23,216653,40,false,,2025-07-25T10:51:51Z,"gothic metal,industrial metal,gothic rock,medieval metal,industrial,industrial rock,symphonic metal,power metal,metal","Napalm Records Handels GmbH",0.483,0.759,1,-4.661,0,0.0402,0.00185,0.0000339,0.139,0.243,92.102,4
spotify:track:6TA8mUL3TjaNqf9kuYBojR,"Ribbon in my hair","Ribbon in my hair","KARAVIRS",2025-07-04,230039,47,false,,2025-07-18T09:40:38Z,"","AIron Heart Records",0.412,0.43,6,-9.272,1,0.0463,0.0316,0,0.181,0.242,171.626,4
spotify:track:1aXFBWnnPFRKUN7vuIA5h0,"Turn The Page","Garage Inc.","Metallica",1998-01-01,366466,68,false,,2025-07-11T10:32:50Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.426,0.813,8,-3.963,1,0.0318,0.0000194,0.022,0.0937,0.228,149.013,4
spotify:track:3R1V7mSWHA4FZ51awfW0cw,"Voices in the Fire","Satanized Man","Operator",2025-04-04,205078,20,false,,2025-06-08T12:22:34Z,"","RAVAL MUSIC",0.49,0.781,7,-7.608,1,0.0355,0.000619,0,0.296,0.349,171.981,4
spotify:track:0tnJnhssxtg6CpMysvbkX4,"Umbra","Skeletá","Ghost",2025-04-25,331800,60,false,,2025-05-31T13:20:37Z,"metal,hard rock","Loma Vista Recordings",0.432,0.97,7,-5.388,0,0.074,0.00164,0.325,0.146,0.331,172.041,4
spotify:track:1QPwcKcHuiZVo77rEMlZZa,"Wild and Untamed","Wild and Untamed","Millstöne",2025-05-02,373560,23,true,,2025-05-25T04:38:42Z,"","Millstöne/Hillroad Records",0.49,0.921,2,-5.47,1,0.0613,0.00146,0.000253,0.372,0.33,135.042,4
spotify:track:6ybRWbM4jdku0Pk8SzjORB,"Skal","Level 12","Miracle Of Sound",2023-06-02,168948,63,false,,2025-05-19T14:37:50Z,"sea shanties,medieval,medieval metal","Miracle Of Sound",0.617,0.657,7,-8.854,1,0.0288,0.313,0.0000443,0.354,0.571,83.997,4
spotify:track:36qn2bFfZzUwM6eIv2XOc9,"Titles","Chariots Of Fire (Original Motion Picture Soundtrack / Remastered)","Vangelis",1981-03-14,213893,56,false,,2025-04-30T23:28:21Z,"new age","UMC (Universal Music Catalogue)",0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,4
spotify:track:42COu0u76ahdsby0hKfMPH,"Was ist hier los?","Sturmfahrt","Eisbrecher",2017-08-18,212506,51,false,,2025-04-20T15:26:43Z,"industrial metal,industrial,industrial rock,medieval metal,ebm","Ariola/Hansa Local",0.643,0.933,0,-4.259,1,0.0327,0.00112,0.00227,0.472,0.656,123.021,4
spotify:track:2PIrlAdig9MxYLMYId11rg,"Black Rose","Seal The Deal & Let's Boogie (Deluxe)","Volbeat;Danko Jones",2016-06-03,235306,62,false,,2025-04-20T15:17:14Z,"rock,metal","Vertigo Berlin",0.488,0.884,4,-3.832,1,0.0543,0.0091,0.00000566,0.0839,0.495,161.957,4
spotify:track:6HlYrk5AuljlJpzYgr8zh1,"The Ghost of Tom Joad - Electric Version","High Hopes","Bruce Springsteen",2014-01-14,453853,35,false,,2025-04-15T16:12:05Z,"","Columbia",0.317,0.643,4,-6.869,0,0.0296,0.000618,0.000479,0.073,0.151,169.811,4
spotify:track:5pbmSyK67ASTZExAX3TrDP,"Rain in the River","Rain in the River","Bruce Springsteen",2025-04-03,192226,35,false,,2025-04-11T21:01:45Z,"","Columbia/Legacy",0.426,0.915,5,-5.19,1,0.0389,0.000683,0.00275,0.0643,0.355,151.794,4
spotify:track:1feq6TSc4s8XyxzWHNVr3R,"Mera Brännvin","Mera Brännvin","Mustasch",2024-08-28,232528,26,true,,2025-04-02T08:44:27Z,"stoner rock","Mustasch",0.464,0.944,11,-2.996,0,0.0702,0.000391,0.0000306,0.0988,0.516,170.125,4
spotify:track:3sstclc293fAVQCiTYLYqU,"High On You (feat. Nikki Sixx)","Evil World Machine","Crossbone Skully",2024-11-22,229481,21,false,,2025-04-02T08:43:52Z,"","Better Noise Music",0.538,0.922,7,-4.53,1,0.0425,0.0000565,0.0149,0.316,0.436,124.03,4
