Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1UaLHfViWSeDJcmR4PjzZw,"Kölyköd voltam","Best of Edda (1980-1990)","EDDA Művek",1990-08-01,273733,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:36:10Z,"","Hungaroton",0.465,0.582,4,-11.678,0,0.0489,0.143,0,0.135,0.653,151.658,4
spotify:track:3RimgA1hA6TUuTGZaQFuGB,"Soha nem elég","Kő kövön","Pandora's Box",2000-10-01,251320,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:36:50Z,"","Hungaroton",0.561,0.821,4,-7.122,0,0.0505,0.00107,0.0112,0.0431,0.608,129.074,4
spotify:track:5RtG0x7HQSb5JMheY7KVpM,"Minden sarkon álltam már","Best of Edda (1980-1990)","EDDA Művek",1990-08-01,304000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:47:00Z,"","Hungaroton",0.326,0.792,4,-14.393,0,0.0663,0.326,0.174,0.291,0.677,167.505,4
spotify:track:66Tq4dnHmKWiDxiSDUulC0,"Nélküled","Es?","P. Mobil",2019-08-10,292964,34,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:48:08Z,"","GrundRecords",0.416,0.85,7,-5.954,1,0.0319,0.00179,0.000788,0.0941,0.427,80.998,4
spotify:track:5stuey6cdMIvf0KTh6oiWT,"Bonnie És Clyde","Tartály (Rock Best Of)","Kerozin",2016-12-10,227427,35,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:49:44Z,"","E.Z.S. Music",0.535,0.932,4,-3.908,0,0.0448,0.000792,0.00000752,0.122,0.418,144.022,4
spotify:track:1FwSP8NjM4MvlNwSOxws0k,"Vágtass velem","A zöld, a bíbor és a fekete","Sandor Bencsik;Pandora's Box",1995-10-01,276200,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:52:11Z,"","Hungaroton",0.64,0.74,9,-10.303,1,0.0354,0.00042,0.109,0.0752,0.687,143.283,4
spotify:track:6GXFt7gOaQGEOOOpLVHr4Z,"Tűz van","Mindörökké","Dinamit",1995-09-01,216040,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T15:58:06Z,"","Hungaroton",0.469,0.906,2,-7.734,0,0.0711,0.000618,0.261,0.0658,0.717,77.629,4
spotify:track:3YMKgskoJUKzFoLK2ksKa5,"A zöld, a bíbor és a fekete","Kő kövön","Pandora's Box",2000-10-01,230840,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T16:08:23Z,"","Hungaroton",0.63,0.79,0,-8.634,0,0.0433,0.027,0.000389,0.0836,0.63,135.252,4
spotify:track:1BBkhFp0uTjuvyNAZMB5qY,"Nagypapa Punk Volt","Tartály (Rock Best Of)","Kerozin",2016-12-10,172602,30,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T16:15:16Z,"","E.Z.S. Music",0.645,0.94,6,-3.278,0,0.0441,0.00724,0.00000273,0.297,0.911,145.995,4
spotify:track:1jCXsEh2tFlRLQlMEqUCoG,"Háromszor","Nekem Nem Kell Más","EDDA Művek",1999-01-01,296173,32,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T16:28:36Z,"","Pataky Management",0.666,0.817,0,-6.59,1,0.0536,0.0882,0.00000377,0.203,0.58,95.01,4
spotify:track:6Ze1NndnxLAHhJ8QsfGqn1,"Halál A Májra!","Tartály (Rock Best Of)","Kerozin",2016-12-10,229930,36,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T16:37:12Z,"","E.Z.S. Music",0.521,0.922,5,-3.855,0,0.0469,0.0023,0,0.291,0.727,142.951,4
spotify:track:3XNRSDgWshlXOTJhLkMOGg,"La Baletta No. 2","Elektromantic","Presser Gabor",1989-07-01,284666,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-08T16:43:46Z,"","Hungaroton",0.461,0.548,11,-13.869,0,0.0445,0.288,0.772,0.354,0.307,144.315,4
spotify:track:0sbtQY3thDpcdAD5jtwb64,"A zöld, a bíbor és a fekete","A zöld, a bíbor és a fekete","Sandor Bencsik;P. Mobil",1995-10-01,250466,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T03:03:31Z,"","Hungaroton",0.674,0.699,11,-6.453,0,0.0261,0.124,0.00000118,0.128,0.659,135.2,4
spotify:track:5xLJHGif8yWd5J3SuyyisC,"Csontváz","Mindörökké","Dinamit",1995-09-01,222240,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T03:19:37Z,"","Hungaroton",0.664,0.863,6,-7.998,0,0.0445,0.00206,0.00791,0.0476,0.776,114.467,4
spotify:track:2uqfccgULRjGgCiShZ9P9p,"Kőbánya blues","Oly sokáig voltunk lenn","Hobo Blues Band",1982-04-26,230493,28,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T03:19:48Z,"","Hungaroton",0.568,0.844,5,-11.717,0,0.0734,0.0731,0.000123,0.133,0.734,97.071,4
spotify:track:1U1NRQGTCmXjvn7KJo3Iyf,"Adj helyet","Bikini","Bikini",1993-07-01,213133,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T03:34:53Z,"","Hungaroton",0.681,0.366,7,-13.865,1,0.0439,0.555,0.00000736,0.0366,0.615,119.613,4
spotify:track:5BvgJvYztxb7mowsHbDfJR,"Rossz vér","Rossz vér","Bill Gyula Deák;Tibor Tátrai;Egon Póka;Dezso Döme",1995-09-01,467133,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T03:45:59Z,"","Hungaroton",0.586,0.231,7,-14.174,1,0.0329,0.058,0.000177,0.0658,0.305,121.985,4
spotify:track:5XTsXCNiHxY9YTpdvruHHe,"El kell hogy engedj","Best of V'Moto-Rock: Várj míg felkel majd a Nap","V'Moto Rock",1991-08-01,256000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:01:12Z,"","Hungaroton",0.506,0.417,5,-12.462,1,0.0335,0.000841,0.802,0.126,0.786,94.006,4
spotify:track:5V1ZR3X9EFVM4atOjtLLan,"A kör","Edda Művek 5. - Koncert 1985.","EDDA Művek",1999-10-01,274573,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:09:09Z,"","Hungaroton",0.543,0.793,9,-4.857,0,0.0402,0.119,0.0000233,0.719,0.488,92.871,4
spotify:track:0jWMSDHK8ikIelmTpyEVBm,"Tépd el az időt","Mindörökké","Dinamit",1995-09-01,388226,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:13:21Z,"","Hungaroton",0.395,0.519,2,-10.685,1,0.0304,0.000995,0.0814,0.121,0.149,142.441,4
spotify:track:0U6xZeOdYd6MmOrr33ydzw,"Hajtók dala","Bolondvadászat","Hobo Blues Band",2008-01-01,209600,31,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:27:51Z,"","EMI",0.683,0.586,5,-4.287,1,0.028,0.335,0.00000168,0.218,0.516,119.978,4
spotify:track:3xKNKZbtliplpGBqilqdir,"István, a király, Act III, ""Koppány vezér"": Szállj fel, szabad madár! (Torda, Koppány és a Nép)","István, A Király (Rockopera)","Levente Szörényi;Varga Miklós;Márta Sebestyén;Peter Balazs;Sandor Szakacsi;Sandor Soros;Máté Victor;Kati Berek;Gyula Vikidál;Sára Bernadett;Bill Gyula Deák;Sándor Halmágyi;Balázsovits Lajos;Nyertes Zsuzsa;Körtvélyessy Zsolt;Hűvösvölgyi Ildikó;Jacint Juhasz;Fonograf Ensemble;Illés-Ensemble;László Makláry",1983-12-01,210533,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:34:19Z,"traditional folk","Hungaroton",0.413,0.767,2,-10.179,1,0.045,0.142,0.00000553,0.947,0.668,163.127,4
spotify:track:6Id07G442X0UuCUSQNlCjq,"Gyere őrült","Edda művek 6.","EDDA Művek",2000-10-01,243493,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-09T04:36:55Z,"","Hungaroton",0.564,0.881,2,-5.051,1,0.0776,0.0286,0.0000937,0.627,0.78,91.199,4
