Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60w68dUDuxaiXiXm2RicYX,"Venusian","Starry Night","Soothing Oasis",2024-01-30,68571,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T19:13:28Z,"","Element Earth",0.142,0.0179,0,-40.507,1,0.053,0.953,0.663,0.105,0.0356,139.682,4
spotify:track:2YLKgnK8T5VkAG6SDRYLkB,"Ancient Stars","Ancient Stars","Soothing Oasis",2024-05-13,66319,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.181,0.0895,10,-31.674,1,0.0415,0.949,0.792,0.1,0.074,139.041,4
spotify:track:4m7DFWc719iX8s8f5Mc8xp,"Rest","Gently Sleeping","Soothing Oasis",2024-05-13,69397,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.139,0.0314,0,-33.203,0,0.0477,0.893,0.812,0.115,0.0346,142.651,5
spotify:track:63dAN5qOZvOMvRbUV5bBOo,"Foggy Morning","Foggy Morning","Soothing Oasis",2024-01-30,68000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.182,0.0671,3,-27.951,1,0.0467,0.975,0.606,0.12,0.156,138.728,3
spotify:track:4nS4beNe09zgxiLI84D8NA,"Sleep Well","Sleep Well","Soothing Oasis",2024-03-22,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.14,0.0513,10,-33.254,0,0.0443,0.954,0.789,0.118,0.0774,142.454,4
spotify:track:7jfzFIIt5Cb2befiZ6O1Q0,"Ancient Oaks","Through the Valley","Soothing Oasis",2024-05-13,68571,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.158,0.0384,8,-32.34,1,0.0463,0.98,0.848,0.104,0.0391,133.919,3
spotify:track:6cqEs9RYFUwy7Ii4TqVwg0,"Experience","Dreaming","Soothing Oasis",2024-03-22,68571,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.102,0.0584,6,-32.057,0,0.0459,0.892,0.464,0.124,0.0832,78.763,4
spotify:track:1iHYykzKdubctW4WK1pxtY,"Astral","Obsidian Sky","Avery's Ambient",2024-02-10,66666,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.181,0.0301,0,-33.035,0,0.061,0.993,0.641,0.104,0.0969,138.437,4
spotify:track:1UGy7X8LYOEiXK1msUcnkR,"Midnight Waves","Midnight Waves","Avery's Ambient",2024-05-13,68848,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.151,0.0302,8,-31.923,1,0.0643,0.991,0.469,0.115,0.0707,138.168,4
spotify:track:7bAto6AYC0ZmEMMn1z5u4r,"Water","Calming River","Soothing Oasis",2024-01-30,68275,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.15,0.00982,3,-34.238,1,0.0495,0.993,0.879,0.109,0.0368,137.209,5
spotify:track:3JpIfiLJ4sgTCj0kRei9qg,"Water's Surface","Midnight Waves","Avery's Ambient",2024-05-13,67974,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.154,0.0363,10,-30.498,0,0.0661,0.992,0.938,0.104,0.0639,137.608,3
spotify:track:3b2EU8Qwb3trRzj60L5MBv,"Warmth","Embraced","Soothing Oasis",2024-02-10,61937,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.145,0.0443,0,-33.994,0,0.0483,0.88,0.689,0.11,0.0347,140.178,4
spotify:track:4FaU8xArgNgeN8gXuvsntJ,"At Peace","At Peace","Soothing Oasis",2024-03-09,65000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.148,0.00275,0,-36.731,1,0.0551,0.991,0.862,0.112,0.0425,136.064,5
spotify:track:6LhRMDbhZ7PVpXtGZpxiIp,"Silent Sky","Foggy Morning","Soothing Oasis",2024-01-30,66000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.168,0.0231,1,-34.006,1,0.0424,0.979,0.984,0.115,0.0793,138.128,4
spotify:track:6pHf5rjZzsBLpHS1n9Mbmk,"Beauty","Night Bloom","Avery's Ambient",2024-02-10,65555,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.138,0.0329,1,-33.899,0,0.0484,0.973,0.731,0.0956,0.0386,143.315,4
spotify:track:5NApsAfRSVYoDKYmVtg7Mi,"Haven","Embraced","Soothing Oasis",2024-02-10,61935,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.172,0.0689,9,-32.118,0,0.0472,0.709,0.663,0.112,0.0399,140.101,4
spotify:track:3fCqFbgY2ETccVe8X2au5a,"Fading Light","Through the Valley","Soothing Oasis",2024-05-13,68426,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.159,0.0141,8,-36.258,0,0.0473,0.965,0.753,0.0952,0.086,137.799,4
spotify:track:4UP1wO77pDTFiBnlV3rLcT,"Glide Over the Lake","Weightless","Soothing Oasis",2024-04-06,63157,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.15,0.0219,0,-33.431,0,0.0457,0.993,0.94,0.0844,0.0359,138.097,4
spotify:track:6eCtEFN8I7jvqlAIZbwcuw,"Reflections","Calming River","Soothing Oasis",2024-01-30,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.156,0.0278,5,-34.934,0,0.0472,0.95,0.588,0.114,0.0307,133,3
spotify:track:2aUbfb6ui62v2SRz5k2EWD,"Softness","Embraced","Soothing Oasis",2024-02-10,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.142,0.01,8,-38.055,0,0.0481,0.89,0.615,0.112,0.0328,140.411,4
spotify:track:10nQ4zNzrtdL5aFgcVIZHo,"Evening","Evening","Soothing Oasis",2024-02-10,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.221,0.02,1,-37.014,0,0.0464,0.797,0.773,0.128,0.0315,64.741,4
spotify:track:71DF4ntRwMIycPAvxb8ttu,"Stellar","Ancient Stars","Soothing Oasis",2024-05-13,64652,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.14,0.0486,10,-34.39,1,0.0471,0.948,0.833,0.108,0.0647,142.047,4
spotify:track:1JRTPYfuusFE4TN1Jmtddr,"Mist on the Riverside","Riverside","Soothing Oasis",2024-04-06,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.166,0.0415,1,-35.734,1,0.0469,0.974,0.843,0.106,0.0905,140.402,1
spotify:track:6hO3sb4A5m1nd9djfpvUvJ,"Glimmering","In the Distance","Avery's Ambient",2024-01-30,68571,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.165,0.0975,8,-27.469,0,0.047,0.942,0.657,0.0902,0.0566,134.023,3
spotify:track:0RV6a7oyUKHItRDDmWw2nP,"Endless Stars","Awakening Earth","Avery's Ambient",2024-05-13,64097,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.15,0.041,7,-32.638,1,0.0503,0.975,0.535,0.0894,0.0514,141.285,4
spotify:track:6IMjF7WdZe8XuI7D1ieQ5Z,"Sleeping City","Gently Sleeping","Soothing Oasis",2024-05-13,68181,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.154,0.0151,1,-35.599,0,0.0549,0.943,0.934,0.106,0.0388,133.622,4
spotify:track:1Ira4pRbCYLMP4rDtWNRoN,"Water and Light","Riverside","Soothing Oasis",2024-04-06,63529,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.148,0.0589,10,-31.889,1,0.0433,0.975,0.371,0.109,0.0906,138.167,4
spotify:track:3ODRtEEWQr6t0OjQu4EmAS,"Distant Tide","Midnight Waves","Avery's Ambient",2024-05-13,66206,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.144,0.0239,8,-35.285,1,0.0549,0.959,0.993,0.119,0.0364,139.113,5
spotify:track:0O1KmsmSVgfS8L6dloY8VA,"Sunset Over Sands","Ripples in the Sand","Avery's Ambient",2024-01-30,63870,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.139,0.195,9,-27.397,0,0.0449,0.841,0.735,0.111,0.0469,142.284,3
spotify:track:2ZjTMpL8l21V42i96k6uxS,"Mirage","Ripples in the Sand","Avery's Ambient",2024-01-30,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.153,0.0434,11,-29.738,0,0.0388,0.902,0.805,0.126,0.101,135.836,3
spotify:track:5d7w4tHn1KG8kxjEJwC687,"Zen","A New Day","Avery's Ambient",2024-03-22,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.148,0.0203,8,-34.557,0,0.0403,0.955,0.838,0.0987,0.0983,138.742,3
spotify:track:4iWm2a32S63Hsc82RaXfew,"In The Clouds","In The Clouds","Avery's Ambient",2024-03-22,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.152,0.0262,9,-34.451,0,0.0397,0.967,0.745,0.106,0.17,136.762,1
spotify:track:4zoGDdDu4z5EmaLTFILTd7,"Through the Valley","Through the Valley","Soothing Oasis",2024-05-13,68000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.17,0.0203,8,-33.673,1,0.0466,0.993,0.691,0.113,0.119,134.578,3
spotify:track:6blCQGAYxPXEf7knvxzHc7,"Calm","In The Clouds","Avery's Ambient",2024-03-22,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.146,0.0605,2,-32.301,0,0.0392,0.934,0.835,0.11,0.0722,138.974,4
spotify:track:0TOuaW4PGN2xxvJH1WCluc,"Scent of Wildflowers","Through the Valley","Soothing Oasis",2024-05-13,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.155,0.014,4,-37.294,1,0.0428,0.983,0.804,0.106,0.0356,135.194,4
spotify:track:3GDegVPOK6tWTq8vpjejzR,"Reflections in Still Water","Stillness","Avery's Ambient",2024-04-06,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.156,0.115,4,-29.285,1,0.0464,0.901,0.386,0.0883,0.0351,133.506,4
spotify:track:2iKl9BeFJghHRSvm0NXMMB,"Softly Spun","Stillness","Avery's Ambient",2024-04-06,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.0735,0.175,2,-27.797,0,0.0466,0.783,0.804,0.092,0.0368,178.574,4
spotify:track:6oMU8yEn3bRsGsS3HrnF87,"Clouds of Silk","At Peace","Soothing Oasis",2024-03-09,64833,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.144,0.0388,0,-29.541,1,0.0543,0.946,0.883,0.128,0.0395,139.784,4
spotify:track:64JywBGdYcJ3tzAUxWNfSp,"Constellations","At Peace","Soothing Oasis",2024-03-09,65454,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.144,0.0517,5,-30.727,1,0.0444,0.92,0.723,0.101,0.0351,139.038,4
spotify:track:56dhhBhC6AizNEeh2B21YF,"Dream Realm","Dream Realm","Soothing Oasis",2024-04-06,64782,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.158,0.119,1,-26.887,0,0.042,0.789,0.596,0.112,0.0492,134.66,4
spotify:track:2OfJmUKcGrKzUVclpELtsq,"Moonlit","Starry Night","Soothing Oasis",2024-01-30,64537,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.213,0.203,3,-26.074,1,0.0433,0.969,0.733,0.0988,0.0355,141.47,4
spotify:track:1L8yOkbUCFPPpKxgXCw6eB,"Through the Fog","Through the Valley","Soothing Oasis",2024-05-13,70238,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.144,0.0162,3,-34.426,1,0.0485,0.982,0.693,0.0939,0.078,138.933,5
spotify:track:1HQER7bPYl8qevYjEIWUfS,"Dawn Over the Water","Riverside","Soothing Oasis",2024-04-06,64750,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.143,0.0384,3,-29.987,1,0.0456,0.976,0.821,0.101,0.0377,74.337,4
spotify:track:5t3ZVwq85PO1GfYYw4WXKI,"Slumbering Earth","Earth at Rest","Soothing Oasis",2024-04-06,65208,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.169,0.0534,7,-32.55,0,0.0545,0.988,0.688,0.12,0.0379,134.163,3
spotify:track:3X4wmixhV0T6Tf5jNUn0an,"Riverside","Riverside","Soothing Oasis",2024-04-06,64614,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.142,0.0271,0,-33.178,0,0.048,0.988,0.481,0.128,0.0376,141.548,3
spotify:track:7I9NZbIU8mjGWvF6EkBE7u,"Still Waters","Riverside","Soothing Oasis",2024-04-06,64541,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.149,0.025,0,-35.207,1,0.0546,0.956,0.821,0.134,0.194,138.797,3
spotify:track:0dW7lOco2rEnWKKi5tL5G2,"Staring","Starry Night","Soothing Oasis",2024-01-30,64500,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.203,0.206,5,-22.448,1,0.0406,0.904,0.803,0.104,0.11,144.29,4
spotify:track:59490YbBbGeT4ssBDTa0xY,"Daylight Fades Away","Earth at Rest","Soothing Oasis",2024-04-06,64652,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.177,0.0221,11,-34.265,1,0.0628,0.991,0.807,0.0982,0.155,136.963,4
spotify:track:2jWEv4sHZEydK68aufIXfo,"Night Breeze","Earth at Rest","Soothing Oasis",2024-04-06,65347,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.172,0.122,2,-26.086,1,0.0444,0.82,0.915,0.12,0.0573,141.397,3
spotify:track:56nseNGnEi6GfDPf3MzAtA,"Thoughts Fade Away","Gently Sleeping","Soothing Oasis",2024-05-13,64000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.141,0.0111,9,-36.362,1,0.0562,0.992,0.773,0.134,0.0848,141.87,3
spotify:track:5VUT1FLcx4htbWK872vGeG,"Soft Sigh","Soothing","Soothing Oasis",2024-04-06,64791,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.174,0.0339,0,-30.444,0,0.0461,0.93,0.746,0.131,0.039,70.533,3
spotify:track:6FLNjG6iRqKZ7IYAGCYems,"Within","Soothing","Soothing Oasis",2024-04-06,64666,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.168,0.0411,5,-35.119,0,0.049,0.972,0.91,0.117,0.0641,139.354,3
spotify:track:6tkQrMujyoeQCusgMPjK7w,"Flowing","Calming River","Soothing Oasis",2024-01-30,66000,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.112,0.145,11,-24.255,0,0.0424,0.934,0.507,0.11,0.0388,63.674,4
spotify:track:5wdQZg0y3OCUask1hHRdCz,"World","Soothing","Soothing Oasis",2024-04-06,65394,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.174,0.0306,5,-35.189,1,0.041,0.966,0.983,0.0914,0.0326,136.548,4
spotify:track:7udqYmjJqkTwzW5byIpocW,"Better World","A New Day","Avery's Ambient",2024-03-22,64918,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-07-07T21:41:18Z,"","Element Earth",0.146,0.0161,3,-36.577,0,0.0478,0.981,0.741,0.106,0.0697,138.337,4
