Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:71fSn6OIF7HnCbgCzOBqpj,"Runnin' Wild","Runnin' Wild (Special Edition)","Airbourne",2007,222240,67,true,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.47,0.947,10,-4.122,1,0.0929,0.000141,0.29,0.127,0.394,162.052,4
spotify:track:0sa1kd1ZDMHopmdY66GcOQ,"Live It Up","Black Dog Barking","Airbourne",2013-05-17,265086,57,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.369,0.92,3,-4.665,1,0.0381,0.00492,0.727,0.191,0.503,142.982,4
spotify:track:08irH52vpSQqYM8ckrsZqg,"Breakin' Outta Hell","Breakin' Outta Hell","Airbourne",2016-09-23,232425,56,true,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.433,0.99,2,-3.427,1,0.154,0.0000545,0.751,0.153,0.231,172.067,4
spotify:track:2XjeZEdPK7Qo66Z7ONp854,"Back In the Game","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,205506,55,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.586,0.96,0,-2.967,1,0.0691,0.00267,0.215,0.23,0.445,97.006,4
spotify:track:2LQbBzrXkgQHnCDUmHjReH,"Too Much, Too Young, Too Fast","Runnin' Wild (Special Edition)","Airbourne",2007,226706,60,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.588,0.873,2,-4.011,1,0.0518,0.00122,0.00122,0.225,0.398,114.03,4
spotify:track:09WdQ3OX4gNKfJLx2q2ep2,"Blonde, Bad and Beautiful","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,229240,52,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.555,0.954,9,-2.79,1,0.0566,0.0000277,0.00552,0.0769,0.513,131.424,4
spotify:track:5gxIJq36ODYOpBECJkHrar,"No Way But the Hard Way","No Guts. No Glory","Airbourne",2010-03-05,214840,49,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.569,0.948,9,-3.216,1,0.0675,0.00126,0.0378,0.0224,0.527,116.037,4
spotify:track:2oK6zOlRBu3zYqS62LLc0i,"GUTSY","GUTSY","Airbourne",2025-06-06,281124,47,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.353,0.987,2,-2.409,1,0.168,0.000495,0.0432,0.0681,0.0848,170.586,4
spotify:track:1R8T9Hnsz0M01pheJIi5qT,"Heartbreaker","Runnin' Wild (Special Edition)","Airbourne",2007,240133,48,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.54,0.938,7,-3.4,1,0.0405,0.00016,0.108,0.365,0.436,151.051,4
spotify:track:1ZvPPexW1i3wCp28jYlVdF,"Raise the Flag","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,213146,49,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.303,0.998,2,-2.668,1,0.0917,0.0000357,0.104,0.132,0.211,171.945,4
spotify:track:3est4FrRAujQJT13JQmCm9,"Ready To Rock","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,324906,47,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.185,0.995,7,-3.362,1,0.139,0.000133,0.852,0.133,0.0568,185.003,4
spotify:track:0FI8DNvWW5V1gXg7AIdeE0,"Animalize","Black Dog Barking","Airbourne",2013-05-17,183080,42,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.618,0.96,11,-3.254,0,0.0486,0.000228,0.156,0.0791,0.52,134.026,4
spotify:track:1XqfhauXkqHyjBTwAzKugj,"Stand Up for Rock 'N' Roll","Runnin' Wild (Special Edition)","Airbourne",2007,245520,48,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.206,0.996,9,-3.957,0,0.424,0.000536,0.00963,0.151,0.0545,182.983,4
spotify:track:3BvrTw3W85GHx60UJO1fY4,"Bottom of the Well","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,270360,41,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.499,0.918,4,-3.317,1,0.0606,0.00263,0.0963,0.106,0.311,119.908,4
spotify:track:0gikB5drRUOd3BLk3sNZz8,"Hungry","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,176640,43,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.508,0.993,9,-3.287,0,0.151,0.000628,0.778,0.257,0.104,100.016,4
spotify:track:36ImONQ6gqrqDdyoiyD6bz,"It's All For Rock N' Roll","Breakin' Outta Hell","Airbourne",2016-09-23,212178,42,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.515,0.948,2,-3.37,1,0.0676,0.00946,0.0226,0.138,0.502,91.062,4
spotify:track:679cJkCqSk3wrr0vKvazBt,"Diamond in the Rough","Runnin' Wild (Special Edition)","Airbourne",2007,177960,46,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.682,0.957,7,-2.54,1,0.0591,0.00115,0,0.0958,0.642,137.964,4
spotify:track:3SJEktfi1HI7yigmqJMKaA,"Backseat Boogie","Boneshaker","Airbourne",2019-10-25,203137,38,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.428,0.963,3,-3.297,1,0.123,0.0503,0.672,0.143,0.498,144.744,4
spotify:track:1lDFuEl7OCdl1ZU4xDyJ3u,"Black Dog Barking","Black Dog Barking","Airbourne",2013-05-17,177706,37,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.563,0.935,0,-4.253,1,0.126,0.000956,0.0359,0.0861,0.466,142.08,4
spotify:track:1roMHP8V9VGzpz3KfZMSZX,"Rivalry","Breakin' Outta Hell","Airbourne",2016-09-23,243385,39,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.488,0.958,2,-3.159,1,0.1,0.0188,0.0252,0.125,0.244,83.928,4
spotify:track:6FSIETAperDxRREVZL7nGj,"Blackjack","Runnin' Wild (Special Edition)","Airbourne",2007,166053,43,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.394,0.975,7,-2.945,1,0.0963,0.00000881,0.589,0.0732,0.203,185.068,5
spotify:track:1i9mctpfTvkg0Yb1mJDQZE,"Boneshaker","Boneshaker","Airbourne",2019-10-25,210103,40,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.354,0.953,8,-3.567,1,0.123,0.00529,0.000695,0.13,0.314,124.247,4
spotify:track:4rfuiubJrkvf8th4gvLShg,"Firepower","Black Dog Barking (Special Edition)","Airbourne",2013-05-17,179320,37,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.533,0.991,9,-2.52,0,0.117,0.00062,0.751,0.207,0.361,147.01,4
spotify:track:6K1WYRliBIpv58bdSrJStz,"When I Drink I Go Crazy","Breakin' Outta Hell","Airbourne",2016-09-23,161482,36,false,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.473,0.991,2,-3.007,1,0.148,0.000345,0.175,0.442,0.346,168.557,4
spotify:track:11CQUTRdiBtrVUV3O722XK,"Woman Like That","Black Dog Barking","Airbourne",2013-05-17,194293,36,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.602,0.976,0,-2.784,1,0.0838,0.00742,0.327,0.144,0.67,127.979,4
spotify:track:1AyxdDbwv7X7WDgy7YP6DC,"Kickin' It Old School","No Guts. No Glory (Special Edition)","Airbourne",2010-03-05,157813,34,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.609,0.907,8,-2.999,1,0.105,0.00234,0.0000568,0.117,0.614,125.054,4
spotify:track:3e3tjhquAhtpRN0RS6eZ2E,"Burnout The Nitro","Boneshaker","Airbourne",2019-10-25,211961,33,true,,1970-01-01T00:00:00Z,"hard rock","Spinefarm",0.351,0.968,2,-4.133,1,0.116,0.00864,0.00136,0.463,0.19,166.735,4
spotify:track:0lIfZruFw0GwWqXPZqnLC7,"Overdrive","No Guts. No Glory","Airbourne",2010-03-05,202760,32,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group Inc.",0.551,0.969,4,-3.098,1,0.0761,0.000057,0.129,0.18,0.62,126.969,4
spotify:track:3bw4dbUvu5QA3wqHgaCctQ,"No One Fits Me (Better Than You)","Black Dog Barking","Airbourne",2013-05-17,186600,35,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.618,0.972,2,-2.358,1,0.0935,0.0275,0.0156,0.05,0.641,136.036,4
