Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5avVpUakfMHD6qGpaH26CF,"Conquest of Paradise","1492: Conquest of Paradise","Vangelis",1992-09-22,278199,65,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.43,0.295,2,-14.255,1,0.0283,0.698,0.569,0.226,0.159,74.014,3
spotify:track:3uNFRvQVEIEsQgHdZFw6Dk,"La petite fille de la mer - Remastered","L'apocalypse des animaux (Remastered)","Vangelis",1973-01-01,354906,64,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.208,0.153,6,-19.343,0,0.033,0.947,0.778,0.1,0.0385,89.653,3
spotify:track:0I0i0baAjsJMlTq4rw8w5Q,"Come to Me","Voices","Vangelis;Caroline Lavelle",1996-02-19,278826,52,false,,1970-01-01T00:00:00Z,"new age,celtic","Rhino",0.283,0.245,8,-13.513,0,0.0307,0.919,0.335,0.122,0.052,105.852,3
spotify:track:5JtTSaH8W6UVqViPgpcqTq,"Rachel's Song","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,288000,56,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.377,0.238,2,-19.388,0,0.0305,0.712,0.922,0.117,0.0722,58.722,4
spotify:track:0v6FuCt6q776u7DzFMOPi0,"Monastery of La Rabida","1492: Conquest of Paradise","Vangelis",1992-09-22,218960,55,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.195,0.139,2,-20.849,0,0.0381,0.476,0.706,0.0671,0.035,58.638,3
spotify:track:0arhGtmkHcZTlwhAurRUF2,"Songs of the Seas","Oceanic","Vangelis",1996-10-28,372680,47,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.242,0.3,0,-15.81,1,0.0298,0.695,0.893,0.406,0.07,77.118,4
spotify:track:36qn2bFfZzUwM6eIv2XOc9,"Titles","Chariots Of Fire (Original Motion Picture Soundtrack / Remastered)","Vangelis",1981-03-14,213893,56,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,4
spotify:track:2oDR7QWoLBk9VYMwsFbRGq,"Love Theme","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,295693,54,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.188,0.12,1,-20.95,1,0.0366,0.572,0.42,0.0933,0.0379,110.244,3
spotify:track:15I4SzvLAI1mguGr9mgIUq,"Twenty Eighth Parallel","1492: Conquest of Paradise","Vangelis",1992-09-22,314333,47,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.16,0.079,5,-18.206,0,0.0353,0.964,0.943,0.121,0.0376,72.619,3
spotify:track:5DmruZakADX1JhSPZlijNz,"Prelude","Voices","Vangelis",1996-02-19,265000,44,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.164,0.0512,6,-24.271,0,0.0339,0.96,0.929,0.132,0.0364,82.591,4
spotify:track:463b8SF7KXrU5oqHgZKSOc,"Abraham's Theme","Chariots Of Fire (Original Motion Picture Soundtrack / Remastered)","Vangelis",1981-03-14,200466,44,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.239,0.0196,9,-27.547,1,0.0442,0.869,0.761,0.0723,0.0326,72.839,4
spotify:track:2LxEIWrZkzfc55c3rk05DH,"Tears in Rain","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,180933,50,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.21,0.155,0,-25.255,1,0.0349,0.0767,0.762,0.352,0.0379,96.349,4
spotify:track:574kl9OU5dmKGKYhDFXj2P,"West Across the Ocean Sea","1492: Conquest of Paradise","Vangelis",1992-09-22,173240,47,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.197,0.145,4,-22.468,0,0.0363,0.806,0.982,0.131,0.0397,73.156,3
spotify:track:7nnRf1iHM8G8WTVrnkWkbv,"Ask the Mountains","Voices","Vangelis",1996-02-19,473253,46,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.308,0.108,0,-20.017,0,0.0324,0.864,0.312,0.174,0.035,155.851,3
spotify:track:3FqkOf0gZvWbUmmAUA9Ao8,"Aquatic Dance","Oceanic","Vangelis",1996-10-28,223866,39,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.514,0.343,1,-16.423,0,0.0321,0.725,0.98,0.169,0.0793,119.788,4
spotify:track:575blCgesVtCu0HEYaIcas,"Blade Runner Blues","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,534400,52,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.182,0.0784,2,-26.043,1,0.0389,0.478,0.00263,0.137,0.0817,106.712,4
spotify:track:7Imvh030lE3llIlUIC4Nr9,"Light and Shadow","1492: Conquest of Paradise","Vangelis",1992-09-22,226760,49,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.204,0.395,2,-16.632,0,0.0346,0.81,0.594,0.127,0.22,51.436,4
spotify:track:1C128gNLnz7jXsQRQ6QYXn,"Hymne - Remastered","Opera sauvage (Remastered)","Vangelis",1979-01-01,164133,42,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.208,0.253,2,-13.175,1,0.033,0.322,0.571,0.261,0.121,68.92,3
spotify:track:6NSVAJKZJnEO8DDYBKHHQo,"Theme From Antarctica - Remastered","Antarctica (Remastered)","Vangelis",1983-01-01,445613,43,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.504,0.523,5,-14.206,1,0.0297,0.0747,0.467,0.191,0.329,104.845,4
spotify:track:0rHCW5eZ35QmQNVYyozAnZ,"Memories of Green","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,305026,48,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.247,0.0392,2,-28.219,1,0.0374,0.919,0.573,0.343,0.0887,169.606,3
spotify:track:0X6SplektlOd1CwtwuOOaM,"Eternity","1492: Conquest of Paradise","Vangelis",1992-09-22,118893,41,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.173,0.162,9,-18.957,1,0.0374,0.948,0.669,0.205,0.0727,150.046,1
spotify:track:5KFCziFQEYdfeT0BjiY0S5,"Through the Night Mist","Nocturne","Vangelis",2019-01-25,312826,39,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.224,0.0645,4,-16.406,1,0.0318,0.978,0.955,0.106,0.0387,97.276,4
spotify:track:6u6CKQx7QIiH4krd3MWfTa,"L'enfant - Remastered","Opera sauvage (Remastered)","Vangelis",1979-01-01,300773,42,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.326,0.162,1,-16.843,1,0.0431,0.72,0.777,0.0982,0.0682,145.84,4
spotify:track:6baN5nSUIVTsUyugSuAj7U,"Main Titles","Blade Runner (Music From The Original Soundtrack)","Vangelis",1994-06-06,222373,49,false,,1970-01-01T00:00:00Z,"new age","EastWest U.K.",0.215,0.22,4,-19.356,1,0.0456,0.0016,0.262,0.442,0.033,117.476,4
spotify:track:0tahkaeFQhdXwUrJCECJ89,"Antarctica Echoes - Remastered","Antarctica (Remastered)","Vangelis",1983-01-01,352386,40,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.109,0.0489,7,-28.219,1,0.039,0.947,0.887,0.283,0.0367,66.937,4
spotify:track:3PUufjfgnfjiDXj8nW77hq,"Dreams of Surf","Oceanic","Vangelis",1996-10-28,163333,36,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.22,0.0751,7,-22.21,1,0.0352,0.975,0.946,0.145,0.0445,94.976,4
spotify:track:1pbqHRbjsZPqXx0XiDLstV,"The Tao Of Love","China","Vangelis",1979-01-01,164066,40,false,,1970-01-01T00:00:00Z,"new age","Polydor Records",0.287,0.0132,5,-23.891,1,0.0353,0.974,0.73,0.117,0.0398,73.26,4
spotify:track:1lkTNrICmRTEPVq8lGN093,"La mort du loup - Remastered","L'apocalypse des animaux (Remastered)","Vangelis",1973-01-01,185226,43,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.228,0.0984,9,-23.162,0,0.0385,0.926,0.891,0.0976,0.0392,85.249,4
spotify:track:2Jbdcc1ZSqOBGhLEtoiLuh,"Dream in an Open Place","Voices","Vangelis",1996-02-19,356626,37,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.194,0.132,9,-19.628,1,0.0341,0.972,0.845,0.116,0.0372,111.142,4
spotify:track:4VhnhcqEEy3n5LYHOqI5Rh,"Memories of Blue","Oceanic","Vangelis",1996-10-28,340426,37,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.135,0.117,1,-22.544,1,0.0388,0.951,0.91,0.528,0.0392,67.93,4
spotify:track:1O9rxgijWmS9jXksIXbxw8,"Rosetta","Rosetta","Vangelis",2016-09-23,302112,39,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.36,0.18,1,-17.456,0,0.0321,0.315,0.888,0.124,0.0515,83.003,4
spotify:track:3oJDSAalrpL8oSZyOBhFPX,"Early Years","Nocturne","Vangelis",2019-01-25,212680,36,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.216,0.102,1,-15.595,1,0.0375,0.955,0.903,0.123,0.0368,98.751,4
spotify:track:0VXRPy0D20PsuV35XIiJ1j,"Titans (From ""Alexander"" Soundtrack)","Alexander (Original Motion Picture Soundtrack)","Vangelis",2004,239133,43,false,,1970-01-01T00:00:00Z,"new age","Sony Classical",0.448,0.457,4,-14.114,1,0.0407,0.674,0.724,0.522,0.311,119.998,4
spotify:track:4QNTuaDSBZTg7sKEF8zXf4,"Le singe bleu - Remastered","L'apocalypse des animaux (Remastered)","Vangelis",1973-01-01,460413,42,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.277,0.0104,9,-27.489,0,0.0356,0.994,0.9,0.0897,0.0945,97.519,3
spotify:track:60oJ9svwUE4lvyF7KYA60p,"Theme from Bitter Moon","Reprise 1990-1999","Vangelis",1999-01-01,220493,34,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.223,0.134,1,-19.088,0,0.0297,0.925,0.776,0.175,0.035,86.591,5
spotify:track:0024tEymsoc9FyKUauQngQ,"To the Unknown Man","Spiral","Vangelis",1977,546106,41,false,,1970-01-01T00:00:00Z,"new age","Windham Hill Records",0.305,0.234,1,-18.255,1,0.0259,0.752,0.929,0.132,0.078,82.453,3
spotify:track:77AdHF6krPumIKlANWeRsC,"Across the Mountains (From ""Alexander"" Soundtrack)","Alexander (Original Motion Picture Soundtrack)","Vangelis;Maria Bildea;Irina Valentinovna Karpouchina;Konstantinos Paliatsaras;Vanessa-Mae Vanakorn Nicholson;Epirus Polyphonic Ensemble",2004,252293,41,false,,1970-01-01T00:00:00Z,"new age","Sony Classical",0.167,0.32,10,-15.65,1,0.0384,0.782,0.981,0.079,0.302,128.248,1
spotify:track:48UwCtPwY0XMXEyMWXumK1,"Main Theme - From ""Chariots of Fire""","Nocturne","Vangelis",2019-01-25,326653,35,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.26,0.0601,1,-14.316,1,0.0337,0.979,0.931,0.108,0.0397,95.011,1
spotify:track:3vL5oFXB5ZDhYbzwmp3mnc,"L'enfant","Orama","Vassilis Saleas;Vangelis",1996,223186,33,false,,1970-01-01T00:00:00Z,"entehno,new age,laïko","FM Records (Greece)",0.433,0.593,9,-9.623,1,0.0437,0.751,0.395,0.148,0.398,91.607,3
spotify:track:1qkp9OvCk8FjeDdEd2bKQ6,"Alpha","Albedo 0.39","Vangelis",1976,344293,42,false,,1970-01-01T00:00:00Z,"new age","Windham Hill Records",0.556,0.284,9,-16.047,1,0.0288,0.149,0.808,0.297,0.087,84.202,4
spotify:track:3f3JYR4XrYRUm9JDWJO5Cy,"Losing Sleep","Voices","Vangelis",1996-02-19,401933,35,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.314,0.25,6,-17.57,0,0.0338,0.903,0.813,0.455,0.113,77.667,4
spotify:track:55PQaWj0EcF5YWPthNi7fb,"Nocturnal Promenade","Nocturne","Vangelis",2019-01-25,351133,36,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.362,0.0863,6,-15.68,1,0.0394,0.973,0.888,0.112,0.0388,98.512,4
spotify:track:5JHt6zZyzZc6OS9Ugz4Gw8,"Prelude","Orama","Vassilis Saleas;Vangelis",1996,264280,32,false,,1970-01-01T00:00:00Z,"entehno,new age,laïko","FM Records (Greece)",0.203,0.246,5,-10.224,0,0.0334,0.961,0.484,0.107,0.0891,134.163,3
spotify:track:6PKyIEkpoyOh9K47NdHTzG,"Spanish Harbour","Oceanic","Vangelis",1996-10-28,402493,34,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.564,0.461,2,-15.854,1,0.0347,0.168,0.783,0.342,0.402,156.762,4
spotify:track:5RMXXGILiMtXMkZb8jxdZ9,"P.S.","Voices","Vangelis",1996-02-19,126093,34,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.307,0.0349,8,-27.766,0,0.0447,0.952,0.786,0.0517,0.0367,71.556,4
spotify:track:5cijIVFJvAeCTn933Pr6xW,"12 O'Clock","Best Of","Vangelis",1993-05-03,331426,37,false,,1970-01-01T00:00:00Z,"new age","RCA Camden",0.161,0.163,1,-17.414,0,0.0435,0.838,0.752,0.126,0.0421,131.969,4
spotify:track:7vI1UAd3OZNdsZ7sth2CDf,"Longing","Nocturne","Vangelis",2019-01-25,225373,30,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.281,0.0878,9,-17.881,0,0.0311,0.969,0.899,0.116,0.0427,91.872,4
spotify:track:6l6eGJDCe2d0sEsgJNi2cU,"In the magic of Cosmos","In the magic of Cosmos","Vangelis",2021-07-30,127106,37,false,,1970-01-01T00:00:00Z,"new age","Decca (UMO) (Classics)",0.112,0.308,1,-16.537,1,0.032,0.351,0.941,0.132,0.045,93.206,4
spotify:track:6o3wjXTROS51upZkU9Fk07,"Twilight","The City","Vangelis",1990-01-01,297666,31,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.212,0.0932,7,-25.532,0,0.0434,0.893,0.843,0.652,0.194,143.232,3
spotify:track:27iy87clL6mJQh9ybqLNK8,"Fields of Coral","Oceanic","Vangelis",1996-10-28,463773,49,false,,1970-01-01T00:00:00Z,"new age","Rhino",0.355,0.134,2,-21.973,1,0.0383,0.969,0.945,0.191,0.035,176.055,4
