Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IAi36i5dpsIv0lHllEank,"Bottle of Jack","Flames","Bonafide",2016,240000,41,false,,1970-01-01T00:00:00Z,"hard rock","Off Yer Rocka Recordings",0.569,0.76,1,-5.31,1,0.0313,0.00034,0.0908,0.297,0.418,130.1,4
spotify:track:3sstclc293fAVQCiTYLYqU,"High On You (feat. Nikki Sixx)","Evil World Machine","Crossbone Skully",2024-11-22,229481,21,false,,1970-01-01T00:00:00Z,"","Better Noise Music",0.538,0.922,7,-4.53,1,0.0425,0.0000565,0.0149,0.316,0.436,124.03,4
spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,"Whiskey In The Jar","Garage Inc.","Metallica",1998-01-01,304693,75,false,,1970-01-01T00:00:00Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.511,0.97,10,-3.72,1,0.0414,0.0000056,0.00136,0.18,0.566,132.986,4
spotify:track:75P9eJ4OtShvS70Zw1KXNF,"Beat to Death Like a Dog","Get Used To It","Rhino Bucket",1992,294560,38,false,,1970-01-01T00:00:00Z,"glam metal,hard rock","Rhino/Warner Records",0.548,0.837,8,-8.136,1,0.0366,0.039,0.038,0.081,0.613,145.877,4
spotify:track:1uVAhGkNEfy7YwUQ7kFFy9,"Games","2XS","Nazareth",1982-02-01,286386,41,false,,1970-01-01T00:00:00Z,"hard rock","Salvo",0.584,0.618,4,-7.885,1,0.0537,0.0719,0,0.101,0.729,77.548,4
spotify:track:6E6ilZokmj9PnBi6k7M4FZ,"Something You Don't Understand","Snakes & Ladders","Shakra",2017-11-10,240344,44,false,,1970-01-01T00:00:00Z,"arena rock,hard rock,aor","AFM Records",0.62,0.824,10,-5.444,0,0.0283,0.000334,0.0173,0.12,0.213,121.092,4
spotify:track:1lHYYQACKWzKB5nLcaTxFM,"To Jupiter And Back","To Jupiter and Back","Kebu",2020-01-03,303750,29,false,,1970-01-01T00:00:00Z,"synthwave","ZYX Music",0.535,0.802,8,-8.12,1,0.0333,0.00331,0.85,0.0842,0.495,127.967,4
spotify:track:3FR2w9O5i9q3unY3gyjq6E,"Through The Mists Of Time","POWER UP","AC/DC",2020-11-13,212235,48,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.57,0.753,9,-5.98,1,0.0365,0.00000162,0.627,0.133,0.477,119.99,4
spotify:track:0oSWtS8XpR7MdLzIbc2hM7,"Open Water","Snakes & Ladders","Shakra",2017-11-10,275168,38,false,,1970-01-01T00:00:00Z,"arena rock,hard rock,aor","AFM Records",0.477,0.737,10,-5.784,0,0.0277,0.00845,0.000349,0.112,0.195,144.066,4
spotify:track:36qn2bFfZzUwM6eIv2XOc9,"Titles","Chariots Of Fire (Original Motion Picture Soundtrack / Remastered)","Vangelis",1981-03-14,213893,56,false,,1970-01-01T00:00:00Z,"new age","UMC (Universal Music Catalogue)",0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,4
spotify:track:043Cua36T2Xa7abQKt1wHt,"Thunder And Lightning","High Class Rock 'N' Roll","Screaming Eagles",2023-10-06,246583,42,false,,1970-01-01T00:00:00Z,"hard rock","FTF RECORDS",0.576,0.883,7,-4.271,1,0.0442,0.0000955,0.578,0.0871,0.48,130.952,4
spotify:track:5SSgOEhCl3C20ioDkt96fr,"Liar","Anima Inferna","Gothminister",2014-02-21,217826,0,false,,1970-01-01T00:00:00Z,"industrial metal,industrial,gothic metal,industrial rock,ebm,gothic rock,darkwave","AFM Records",0.538,0.91,9,-5.84,0,0.0385,0.0012,0.0931,0.183,0.242,110.007,4
spotify:track:0sa1kd1ZDMHopmdY66GcOQ,"Live It Up","Black Dog Barking","Airbourne",2013-05-17,265086,57,false,,1970-01-01T00:00:00Z,"hard rock","Nettwerk Music Group",0.369,0.92,3,-4.665,1,0.0381,0.00492,0.727,0.191,0.503,142.982,4
spotify:track:0RME0CWUl4l1r1NasdH2As,"Bad Blood","Bad Blood","Rebel Road",2024-07-24,196560,38,false,,1970-01-01T00:00:00Z,"southern rock","Rebel Road",0.447,0.755,7,-4.201,0,0.0352,0.0000156,0.0243,0.107,0.235,114.938,4
