Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:75P9eJ4OtShvS70Zw1KXNF,"Beat to Death Like a Dog","Get Used To It","Rhino Bucket",1992,294560,38,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-12T15:57:02Z,"glam metal,hard rock","Rhino/Warner Records",0.548,0.837,8,-8.136,1,0.0366,0.039,0.038,0.081,0.613,145.877,4
spotify:track:5SSgOEhCl3C20ioDkt96fr,"Liar","Anima Inferna","Gothminister",2014-02-21,217826,0,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-12T15:57:58Z,"industrial metal,industrial,gothic metal,industrial rock,ebm,gothic rock,darkwave","AFM Records",0.538,0.91,9,-5.84,0,0.0385,0.0012,0.0931,0.183,0.242,110.007,4
spotify:track:1ojotvJWLsbEsmLV6gl0cM,"Human","Hørizøns","Beyond The Black",2020-06-19,309266,31,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-12T16:24:16Z,"symphonic metal,power metal,gothic metal,metal","Napalm Records Handels GmbH",0.446,0.798,0,-7.089,1,0.0365,0.00147,0,0.102,0.642,76.003,4
spotify:track:46QazXxQS0B31CnbRCy8CV,"Rock You Like a Hurricane - 2011","Comeblack","Scorpions",2011-11-07,255573,65,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T09:45:43Z,"hard rock,glam metal,rock","Legacy Recordings",0.587,0.891,11,-3.381,1,0.0361,0.000261,0.00454,0.314,0.705,124.005,4
spotify:track:2ZUwWeKqATndRNoUOwoPyV,"Hellevator","Hellevator","Thundermother",2016-11-04,193613,43,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T09:53:21Z,"hard rock","Despotz Records AB",0.662,0.716,4,-4.186,0,0.0343,0.00174,0.000306,0.444,0.699,111.975,4
spotify:track:249XHhBxBOblTCYStaC27L,"Koolaid","The Rise of Chaos","Accept",2017-08-04,299720,47,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T10:06:51Z,"heavy metal,speed metal,metal,thrash metal,hard rock","Nuclear Blast",0.548,0.904,11,-5.197,1,0.03,0.000429,0.0842,0.37,0.342,129.016,4
spotify:track:3FR2w9O5i9q3unY3gyjq6E,"Through The Mists Of Time","POWER UP","AC/DC",2020-11-13,212235,48,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T10:15:03Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.57,0.753,9,-5.98,1,0.0365,0.00000162,0.627,0.133,0.477,119.99,4
spotify:track:3Kh0RuR2T1UeiFK2qpNRmj,"Cry Soldier Cry","Mission No. X","U.D.O.",2005-09-30,315520,38,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T10:34:57Z,"heavy metal,norsk rock,metal,power metal,speed metal","AFM Records",0.5,0.755,11,-5.161,0,0.0316,0.0802,0.0000232,0.305,0.384,113.977,4
spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,"Whiskey In The Jar","Garage Inc.","Metallica",1998-01-01,304693,75,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T10:37:36Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.511,0.97,10,-3.72,1,0.0414,0.0000056,0.00136,0.18,0.566,132.986,4
spotify:track:6rAy2MsMUabbqu2VygrblP,"Givin the Dog a Bone","Back In Black","AC/DC",1980-07-25,212400,55,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T10:39:43Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.525,0.975,2,-4.372,1,0.0572,0.0704,0.0000222,0.231,0.736,132.686,4
spotify:track:6ZPi5iNXafjUHep1sltQNl,"Pandemic","Blood of the Nations","Accept",2010-08-20,336266,49,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T11:34:44Z,"heavy metal,speed metal,metal,thrash metal,hard rock","Nuclear Blast",0.451,0.979,6,-4.554,0,0.0557,0.000038,0.0144,0.309,0.559,152.031,4
spotify:track:6Xd3sEwne19qbUzxOrUl40,"5150","5150","Van Halen",1986-03-24,342666,50,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T11:36:37Z,"glam metal,classic rock,rock,hard rock","Warner Records",0.254,0.72,1,-13.81,1,0.0471,0.00965,0.00234,0.0573,0.679,157.652,4
spotify:track:55b6f6pK0axw2HZ6I3ruV0,"Whatever","Thundermother","Thundermother",2018-02-23,161531,45,false,31rpowy4sdgjueopedqjacrdo6w4,2024-03-13T11:38:30Z,"hard rock","Despotz Records AB",0.53,0.901,9,-9.279,0,0.0523,0.000636,0.000126,0.0877,0.581,167.965,4
